id,odor,gill-attachment,ring-number,ring-type
1360,n,f,o,e
1361,n,f,o,e
1362,p,f,o,p
1363,n,f,o,e
1364,n,f,o,e
1365,n,f,o,e
1366,n,f,o,e
1367,n,f,o,e
1368,n,f,o,e
1369,n,f,o,p
1370,n,f,o,e
1371,n,f,o,e
1372,n,f,o,e
1373,n,f,o,e
1374,l,f,o,p
1375,p,f,o,p
1376,p,f,o,p
1377,n,f,o,e
1378,n,f,o,e
1379,p,f,o,p
1380,n,f,o,e
1381,p,f,o,p
1382,n,f,o,e
1383,p,f,o,p
1384,n,f,o,e
1385,n,f,o,e
1386,n,f,o,e
1387,n,f,o,e
1388,n,f,o,p
1389,n,f,o,p
1390,n,f,o,e
1391,n,f,o,p
1392,n,f,o,e
1393,n,f,o,e
1394,n,f,o,e
1395,n,f,o,e
1396,n,f,o,p
1397,n,f,o,e
1398,n,f,o,e
1399,n,f,o,e
1400,p,f,o,p
1401,n,f,o,e
1402,a,f,o,p
1403,n,f,o,p
1404,n,f,o,e
1405,n,f,o,e
1406,p,f,o,p
1407,n,f,o,e
1408,n,f,o,e
1409,n,f,o,e
1410,n,f,o,e
1411,n,f,o,e
1412,n,f,o,e
1413,n,f,o,e
1414,n,f,o,e
1415,n,f,o,e
1416,n,f,o,e
1417,l,f,o,p
1418,n,f,o,e
1419,n,f,o,e
1420,n,f,o,e
1421,p,f,o,p
1422,n,f,o,e
1423,n,f,o,p
1424,n,f,o,e
1425,n,f,o,e
1426,n,f,o,e
1427,n,f,o,e
1428,n,f,o,e
1429,l,f,o,p
1430,p,f,o,p
1431,n,f,o,e
1432,n,f,o,p
1433,p,f,o,p
1434,p,f,o,p
1435,p,f,o,p
1436,n,f,o,p
1437,l,f,o,p
1438,p,f,o,p
1439,n,f,o,e
1440,n,f,o,e
1441,n,f,o,p
1442,n,f,o,e
1443,n,f,o,e
1444,n,f,o,e
1445,p,f,o,p
1446,p,f,o,p
1447,n,f,o,e
1448,n,f,o,e
1449,n,f,o,p
1450,n,f,o,e
1451,n,f,o,e
1452,p,f,o,p
1453,n,f,o,e
1454,p,f,o,p
1455,n,f,o,e
1456,n,f,o,e
1457,n,f,o,e
1458,n,f,o,p
1459,n,f,o,e
1460,p,f,o,p
1461,n,f,o,p
1462,n,f,o,e
1463,n,f,o,e
1464,a,f,o,p
1465,n,f,o,e
1466,n,f,o,p
1467,n,f,o,p
1468,a,f,o,p
1469,n,f,o,e
1470,n,f,o,e
1471,n,f,o,p
1472,n,f,o,e
1473,p,f,o,p
1474,n,f,o,e
1475,n,f,o,e
1476,n,f,o,e
1477,n,f,o,e
1478,n,f,o,e
1479,p,f,o,p
1480,n,f,o,e
1481,n,f,o,e
1482,n,f,o,e
1483,n,f,o,e
1484,n,f,o,e
1485,l,f,o,p
1486,p,f,o,p
1487,n,f,o,e
1488,n,f,o,e
1489,n,f,o,e
1490,p,f,o,p
1491,n,f,o,e
1492,p,f,o,p
1493,n,f,o,e
1494,n,f,o,e
1495,n,f,o,e
1496,n,f,o,e
1497,n,f,o,e
1498,n,f,o,e
1499,n,f,o,e
1500,n,f,o,e
1501,n,f,o,e
1502,a,f,o,p
1503,n,f,o,e
1504,n,f,o,e
1505,n,f,o,e
1506,n,f,o,p
1507,p,f,o,p
1508,n,f,o,p
1509,n,f,o,e
1510,n,f,o,p
1511,n,f,o,e
1512,n,f,o,e
1513,n,f,o,e
1514,a,f,o,p
1515,a,f,o,p
1516,n,f,o,e
1517,n,f,o,e
1518,n,f,o,e
1519,a,f,o,p
1520,n,f,o,e
1521,l,f,o,p
1522,n,f,o,e
1523,n,f,o,e
1524,n,f,o,e
1525,n,f,o,e
1526,n,f,o,e
1527,n,f,o,p
1528,n,f,o,e
1529,a,f,o,p
1530,n,f,o,e
1531,p,f,o,p
1532,n,f,o,e
1533,p,f,o,p
1534,n,f,o,e
1535,n,f,o,e
1536,p,f,o,p
1537,n,f,o,e
1538,p,f,o,p
1539,n,f,o,e
1540,n,f,o,e
1541,p,f,o,p
1542,n,f,o,e
1543,n,f,o,e
1544,n,f,o,e
1545,n,f,o,e
1546,n,f,o,p
1547,p,f,o,p
1548,n,f,o,e
1549,a,f,o,p
1550,n,f,o,e
1551,n,f,o,e
1552,l,f,o,p
1553,n,f,o,e
1554,n,f,o,e
1555,n,f,o,e
1556,p,f,o,p
1557,n,f,o,e
1558,a,f,o,p
1559,n,f,o,e
1560,n,f,o,e
1561,n,f,o,e
1562,n,f,o,e
1563,n,f,o,e
1564,n,f,o,p
1565,l,f,o,p
1566,n,f,o,p
1567,p,f,o,p
1568,n,f,o,e
1569,p,f,o,p
1570,n,f,o,e
1571,n,f,o,e
1572,n,f,o,e
1573,n,f,o,e
1574,n,f,o,e
1575,l,f,o,p
1576,n,f,o,e
1577,n,f,o,e
1578,p,f,o,p
1579,n,f,o,e
1580,p,f,o,p
1581,n,f,o,e
1582,n,f,o,p
1583,n,f,o,e
1584,p,f,o,p
1585,n,f,o,e
1586,p,f,o,p
1587,n,f,o,p
1588,n,f,o,e
1589,a,f,o,p
1590,n,f,o,e
1591,n,f,o,e
1592,n,f,o,e
1593,n,f,o,e
1594,n,f,o,e
1595,n,f,o,e
1596,n,f,o,e
1597,n,f,o,p
1598,n,f,o,e
1599,n,f,o,e
1600,l,f,o,p
1601,n,f,o,p
1602,n,f,o,e
1603,n,f,o,e
1604,n,f,o,e
1605,n,f,o,e
1606,n,f,o,e
1607,n,f,o,e
1608,n,f,o,e
1609,n,f,o,p
1610,n,f,o,e
1611,n,f,o,e
1612,n,f,o,e
1613,n,f,o,p
1614,p,f,o,p
1615,p,f,o,p
1616,n,f,o,p
1617,n,f,o,e
1618,n,f,o,e
1619,n,f,o,e
1620,n,f,o,e
1621,n,f,o,e
1622,n,f,o,e
1623,n,f,o,e
1624,n,f,o,e
1625,n,f,o,p
1626,p,f,o,p
1627,n,f,o,e
1628,n,f,o,p
1629,p,f,o,p
1630,p,f,o,p
1631,p,f,o,p
1632,n,f,o,e
1633,n,f,o,e
1634,n,f,o,e
1635,n,f,o,e
1636,n,f,o,e
1637,p,f,o,p
1638,p,f,o,p
1639,n,f,o,e
1640,n,f,o,e
1641,n,f,o,e
1642,n,f,o,p
1643,n,f,o,p
1644,n,f,o,e
1645,n,f,o,e
1646,n,f,o,e
1647,l,f,o,p
1648,n,f,o,e
1649,n,f,o,e
1650,n,f,o,e
1651,n,f,o,e
1652,n,f,o,e
1653,n,f,o,e
1654,n,f,o,e
1655,n,f,o,e
1656,n,f,o,e
1657,n,f,o,e
1658,n,f,o,e
1659,n,f,o,e
1660,n,f,o,e
1661,n,f,o,e
1662,n,f,o,e
1663,a,f,o,p
1664,l,f,o,p
1665,n,f,o,e
1666,p,f,o,p
1667,n,f,o,e
1668,p,f,o,p
1669,n,f,o,p
1670,p,f,o,p
1671,l,f,o,p
1672,l,f,o,p
1673,l,f,o,p
1674,n,f,o,e
1675,n,f,o,e
1676,n,f,o,e
1677,n,f,o,e
1678,n,f,o,e
1679,n,f,o,e
1680,n,f,o,e
1681,l,f,o,p
1682,n,f,o,e
1683,l,f,o,p
1684,p,f,o,p
1685,n,f,o,e
1686,n,f,o,e
1687,n,f,o,e
1688,n,f,o,e
1689,n,f,o,p
1690,n,f,o,p
1691,a,f,o,p
1692,n,f,o,p
1693,n,f,o,e
1694,n,f,o,e
1695,n,f,o,e
1696,n,f,o,e
1697,n,f,o,e
1698,n,f,o,e
1699,n,f,o,e
1700,n,f,o,e
1701,n,f,o,p
1702,n,f,o,e
1703,n,f,o,e
1704,p,f,o,p
1705,n,f,o,p
1706,n,f,o,e
1707,n,f,o,e
1708,p,f,o,p
1709,n,f,o,e
1710,n,f,o,p
1711,n,f,o,e
1712,n,f,o,e
1713,n,f,o,p
1714,n,f,o,e
1715,n,f,o,e
1716,n,f,o,p
1717,l,f,o,p
1718,l,f,o,p
1719,n,f,o,e
1720,n,f,o,e
1721,n,f,o,e
1722,n,f,o,e
1723,n,f,o,e
1724,n,f,o,e
1725,a,f,o,p
1726,p,f,o,p
1727,n,f,o,e
1728,n,f,o,e
1729,a,f,o,p
1730,n,f,o,e
1731,n,f,o,e
1732,p,f,o,p
1733,n,f,o,e
1734,n,f,o,e
1735,p,f,o,p
1736,n,f,o,e
1737,n,f,o,e
1738,n,f,o,p
1739,n,f,o,e
1740,p,f,o,p
1741,n,f,o,e
1742,n,f,o,e
1743,n,f,o,e
1744,n,f,o,e
1745,l,f,o,p
1746,p,f,o,p
1747,n,f,o,e
1748,n,f,o,p
1749,p,f,o,p
1750,n,f,o,e
1751,n,f,o,e
1752,a,f,o,p
1753,n,f,o,e
1754,n,f,o,e
1755,p,f,o,p
1756,n,f,o,e
1757,n,f,o,e
1758,n,f,o,e
1759,n,f,o,p
1760,n,f,o,e
1761,n,f,o,e
1762,n,f,o,e
1763,n,f,o,e
1764,n,f,o,p
1765,n,f,o,e
1766,p,f,o,p
1767,n,f,o,e
1768,n,f,o,e
1769,n,f,o,p
1770,a,f,o,p
1771,n,f,o,e
1772,n,f,o,e
1773,n,f,o,e
1774,a,f,o,p
1775,n,f,o,p
1776,n,f,o,e
1777,n,f,o,e
1778,p,f,o,p
1779,p,f,o,p
1780,n,f,o,e
1781,n,f,o,p
1782,n,f,o,e
1783,n,f,o,e
1784,p,f,o,p
1785,a,f,o,p
1786,n,f,o,e
1787,p,f,o,p
1788,n,f,o,e
1789,n,f,o,e
1790,n,f,o,e
1791,p,f,o,p
1792,n,f,o,e
1793,n,f,o,e
1794,n,f,o,e
1795,n,f,o,e
1796,p,f,o,p
1797,n,f,o,e
1798,n,f,o,e
1799,p,f,o,p
1800,n,f,o,e
1801,n,f,o,p
1802,n,f,o,e
1803,n,f,o,p
1804,n,f,o,p
1805,n,f,o,p
1806,n,f,o,p
1807,n,f,o,e
1808,n,f,o,p
1809,n,f,o,p
1810,n,f,o,e
1811,p,f,o,p
1812,n,f,o,p
1813,p,f,o,p
1814,a,f,o,p
1815,n,f,o,e
1816,a,f,o,p
1817,f,f,o,l
1818,n,f,o,e
1819,n,f,o,e
1820,n,f,o,p
1821,n,f,o,e
1822,n,f,o,e
1823,p,f,o,p
1824,n,f,o,p
1825,l,f,o,p
1826,n,f,o,e
1827,n,f,o,p
1828,n,f,o,e
1829,n,f,o,e
1830,n,f,o,p
1831,n,f,o,p
1832,n,f,o,p
1833,n,f,o,e
1834,n,f,o,p
1835,n,f,o,p
1836,n,f,o,p
1837,n,f,o,p
1838,n,f,o,e
1839,n,f,o,p
1840,n,f,o,e
1841,n,f,o,e
1842,n,f,o,e
1843,n,f,o,p
1844,p,f,o,p
1845,n,f,o,p
1846,n,f,o,e
1847,n,f,o,e
1848,n,f,o,p
1849,n,f,o,p
1850,n,f,o,p
1851,n,f,o,p
1852,n,f,o,e
1853,n,f,o,p
1854,n,f,o,p
1855,n,f,o,p
1856,n,f,o,p
1857,a,f,o,p
1858,n,f,o,p
1859,p,f,o,p
1860,n,f,o,e
1861,n,f,o,p
1862,n,f,o,p
1863,n,f,o,e
1864,n,f,o,p
1865,n,f,o,e
1866,n,f,o,p
1867,n,f,o,p
1868,n,f,o,e
1869,n,f,o,e
1870,n,f,o,e
1871,n,f,o,e
1872,n,f,o,p
1873,n,f,o,e
1874,n,f,o,e
1875,n,f,o,p
1876,n,f,o,p
1877,n,f,o,p
1878,n,f,o,p
1879,n,f,o,e
1880,n,f,o,e
1881,n,f,o,e
1882,n,f,o,e
1883,n,f,o,p
1884,n,f,o,p
1885,n,f,o,p
1886,l,f,o,p
1887,n,f,o,e
1888,p,f,o,p
1889,n,f,o,p
1890,n,f,o,p
1891,n,f,o,e
1892,n,f,o,e
1893,n,f,o,e
1894,n,f,o,e
1895,n,f,o,e
1896,n,f,o,p
1897,n,f,o,p
1898,n,f,o,e
1899,n,f,o,e
1900,n,f,o,e
1901,n,f,o,p
1902,n,f,o,e
1903,n,f,o,e
1904,n,f,o,e
1905,n,f,o,e
1906,n,f,o,e
1907,n,f,o,e
1908,n,f,o,p
1909,n,f,o,e
1910,n,f,o,e
1911,n,f,o,p
1912,n,f,o,p
1913,n,f,o,p
1914,n,f,o,e
1915,n,f,o,e
1916,l,f,o,p
1917,p,f,o,p
1918,n,f,o,e
1919,n,f,o,e
1920,n,f,o,p
1921,n,f,o,p
1922,n,f,o,e
1923,n,f,o,e
1924,n,f,o,e
1925,n,f,o,p
1926,n,f,o,p
1927,n,f,o,e
1928,n,f,o,e
1929,n,f,o,e
1930,n,f,o,e
1931,p,f,o,p
1932,a,f,o,p
1933,n,f,o,p
1934,n,f,o,e
1935,n,f,o,e
1936,n,f,o,e
1937,l,f,o,p
1938,n,f,o,e
1939,n,f,o,e
1940,n,f,o,e
1941,n,f,o,p
1942,n,f,o,p
1943,n,f,o,p
1944,n,f,o,e
1945,n,f,o,e
1946,p,f,o,p
1947,n,f,o,e
1948,n,f,o,p
1949,n,f,o,p
1950,n,f,o,e
1951,n,f,o,p
1952,n,f,o,p
1953,n,f,o,p
1954,n,f,o,p
1955,n,f,o,p
1956,p,f,o,p
1957,n,f,o,e
1958,n,f,o,p
1959,n,f,o,p
1960,p,f,o,p
1961,n,f,o,p
1962,n,f,o,e
1963,n,f,o,p
1964,n,f,o,e
1965,n,f,o,e
1966,n,f,o,e
1967,n,f,o,p
1968,n,f,o,e
1969,n,f,o,p
1970,n,f,o,e
1971,n,f,o,e
1972,n,f,o,e
1973,p,f,o,p
1974,n,f,o,p
1975,n,f,o,e
1976,p,f,o,p
1977,n,f,o,p
1978,n,f,o,p
1979,n,f,o,e
1980,n,f,o,p
1981,n,f,o,e
1982,n,f,o,e
1983,l,f,o,p
1984,n,f,o,e
1985,n,f,o,p
1986,n,f,o,p
1987,n,f,o,e
1988,p,f,o,p
1989,n,f,o,p
1990,p,f,o,p
1991,p,f,o,p
1992,n,f,o,p
1993,n,f,o,e
1994,n,f,o,p
1995,n,f,o,e
1996,n,f,o,p
1997,n,f,o,e
1998,n,f,o,e
1999,n,f,o,e
2000,n,f,o,e
2001,n,f,o,p
2002,n,f,o,p
2003,n,f,o,e
2004,n,f,o,p
2005,p,f,o,p
2006,l,f,o,p
2007,p,f,o,p
2008,n,f,o,e
2009,n,f,o,e
2010,p,f,o,p
2011,n,f,o,e
2012,n,f,o,e
2013,n,f,o,p
2014,n,f,o,e
2015,n,f,o,e
2016,n,f,o,e
2017,n,f,o,e
2018,a,f,o,p
2019,a,f,o,p
2020,n,f,o,e
2021,n,f,o,p
2022,n,f,o,p
2023,n,f,o,p
2024,n,f,o,e
2025,n,f,o,p
2026,n,f,o,p
2027,n,f,o,e
2028,n,f,o,p
2029,n,f,o,e
2030,l,f,o,p
2031,n,f,o,p
2032,n,f,o,e
2033,n,f,o,p
2034,n,f,o,p
2035,n,f,o,p
2036,n,f,o,e
2037,n,f,o,e
2038,n,f,o,e
2039,n,f,o,e
2040,n,f,o,p
2041,n,f,o,p
2042,n,f,o,p
2043,n,f,o,e
2044,n,f,o,e
2045,n,f,o,e
2046,a,f,o,p
2047,n,f,o,p
2048,n,f,o,e
2049,n,f,o,p
2050,n,f,o,p
2051,n,f,o,e
2052,a,f,o,p
2053,n,f,o,e
2054,n,f,o,e
2055,n,f,o,p
2056,n,f,o,e
2057,n,f,o,p
2058,n,f,o,p
2059,n,f,o,e
2060,a,f,o,p
2061,n,f,o,e
2062,p,f,o,p
2063,n,f,o,e
2064,n,f,o,p
2065,n,f,o,e
2066,n,f,o,p
2067,n,f,o,p
2068,p,f,o,p
2069,n,f,o,e
2070,n,f,o,p
2071,n,f,o,p
2072,n,f,o,p
2073,n,f,o,p
2074,n,f,o,p
2075,p,f,o,p
2076,l,f,o,p
2077,n,f,o,p
2078,n,f,o,p
2079,n,f,o,e
2080,n,f,o,p
2081,n,f,o,e
2082,n,f,o,e
2083,n,f,o,p
2084,n,f,o,p
2085,n,f,o,e
2086,n,f,o,e
2087,n,f,o,e
2088,n,f,o,p
2089,n,f,o,p
2090,p,f,o,p
2091,n,f,o,p
2092,n,f,o,e
2093,a,f,o,p
2094,n,f,o,e
2095,n,f,o,e
2096,n,f,o,p
2097,n,f,o,p
2098,n,f,o,e
2099,p,f,o,p
2100,n,f,o,e
2101,n,f,o,p
2102,n,f,o,p
2103,n,f,o,p
2104,n,f,o,p
2105,n,f,o,p
2106,n,f,o,p
2107,n,f,o,p
2108,n,f,o,p
2109,n,f,o,p
2110,n,f,o,p
2111,n,f,o,p
2112,n,f,o,p
2113,p,f,o,p
2114,n,f,o,p
2115,n,f,o,p
2116,n,f,o,p
2117,n,f,o,p
2118,n,f,o,p
2119,n,f,o,p
2120,n,f,o,p
2121,n,f,o,p
2122,n,f,o,p
2123,n,f,o,p
2124,n,f,o,p
2125,n,f,o,p
2126,n,f,o,p
2127,n,f,o,p
2128,n,f,o,p
2129,f,f,o,l
2130,p,f,o,p
2131,n,f,o,p
2132,n,f,o,e
2133,n,f,o,p
2134,n,f,o,p
2135,n,f,o,p
2136,n,f,o,p
2137,n,f,o,p
2138,n,f,o,p
2139,n,f,o,p
2140,n,f,o,p
2141,n,f,o,p
2142,n,f,o,p
2143,n,f,o,p
2144,n,f,o,p
2145,n,f,o,p
2146,n,f,o,p
2147,n,f,o,p
2148,p,f,o,p
2149,n,f,o,p
2150,p,f,o,p
2151,n,f,o,p
2152,n,f,o,p
2153,n,f,o,p
2154,n,f,o,p
2155,n,f,o,p
2156,n,f,o,p
2157,n,f,o,p
2158,n,f,o,p
2159,n,f,o,p
2160,n,f,o,p
2161,n,f,o,p
2162,n,f,o,p
2163,n,f,o,p
2164,n,f,o,p
2165,n,f,o,p
2166,n,f,o,p
2167,n,f,o,p
2168,n,f,o,p
2169,n,f,o,p
2170,n,f,o,p
2171,n,f,o,p
2172,n,f,o,p
2173,n,f,o,p
2174,n,f,o,p
2175,n,f,o,p
2176,n,f,o,p
2177,n,f,o,p
2178,n,f,o,p
2179,f,f,o,l
2180,n,f,o,p
2181,n,f,o,p
2182,n,f,o,p
2183,n,f,o,p
2184,n,f,o,p
2185,n,f,o,p
2186,n,f,o,p
2187,n,f,o,p
2188,n,f,o,p
2189,n,f,o,p
2190,n,f,o,p
2191,n,f,o,p
2192,n,f,o,p
2193,n,f,o,e
2194,n,f,o,p
2195,n,f,o,p
2196,n,f,o,p
2197,n,f,o,p
2198,n,f,o,p
2199,n,f,o,p
2200,n,f,o,p
2201,n,f,o,e
2202,n,f,o,p
2203,n,f,o,p
2204,n,f,o,p
2205,n,f,o,p
2206,n,f,o,p
2207,n,f,o,p
2208,n,f,o,p
2209,n,f,o,p
2210,n,f,o,p
2211,c,f,o,p
2212,n,f,o,p
2213,n,f,o,p
2214,n,f,o,p
2215,n,f,o,p
2216,n,f,o,p
2217,n,f,o,p
2218,n,f,o,p
2219,n,f,o,p
2220,n,f,o,p
2221,n,f,o,p
2222,n,f,o,p
2223,n,f,o,p
2224,n,f,o,p
2225,n,f,o,p
2226,n,f,o,p
2227,n,f,o,p
2228,n,f,o,e
2229,n,f,o,p
2230,n,f,o,p
2231,n,f,o,p
2232,n,f,o,p
2233,n,f,o,p
2234,n,f,o,p
2235,n,f,o,p
2236,n,f,o,p
2237,n,f,o,p
2238,n,f,o,e
2239,f,f,o,l
2240,n,f,o,p
2241,n,f,o,p
2242,p,f,o,p
2243,n,f,o,p
2244,n,f,o,p
2245,n,f,o,p
2246,n,f,o,p
2247,n,f,o,p
2248,n,f,o,e
2249,n,f,o,p
2250,n,f,o,p
2251,n,f,o,p
2252,n,f,o,p
2253,n,f,o,e
2254,n,f,o,p
2255,n,f,o,p
2256,n,f,o,p
2257,n,f,o,p
2258,n,f,o,p
2259,n,f,o,p
2260,n,f,o,p
2261,n,f,o,e
2262,n,f,o,p
2263,n,f,o,p
2264,n,f,o,p
2265,n,f,o,p
2266,n,f,o,p
2267,n,f,o,e
2268,n,f,o,p
2269,n,f,o,p
2270,n,f,o,p
2271,n,f,o,p
2272,n,f,o,e
2273,n,f,o,p
2274,n,f,o,p
2275,n,f,o,p
2276,n,f,o,p
2277,n,f,o,p
2278,n,f,o,p
2279,n,f,o,p
2280,n,f,o,p
2281,n,f,o,p
2282,n,f,o,p
2283,n,f,o,p
2284,n,f,o,p
2285,n,f,o,p
2286,c,f,o,p
2287,n,f,o,p
2288,n,f,o,p
2289,p,f,o,p
2290,n,f,o,p
2291,n,f,o,p
2292,n,f,o,p
2293,n,f,o,p
2294,n,f,o,p
2295,n,f,o,p
2296,n,f,o,e
2297,n,f,o,p
2298,n,f,o,e
2299,n,f,o,p
2300,n,f,o,p
2301,n,f,o,p
2302,n,f,o,p
2303,n,f,o,p
2304,n,f,o,p
2305,n,f,o,p
2306,n,f,o,p
2307,n,f,o,p
2308,n,f,o,p
2309,n,f,o,p
2310,n,f,o,p
2311,n,f,o,p
2312,n,f,o,p
2313,n,f,o,p
2314,n,f,o,p
2315,n,f,o,p
2316,n,f,o,p
2317,n,f,o,p
2318,n,f,o,p
2319,n,f,o,p
2320,n,f,o,p
2321,n,f,o,p
2322,n,f,o,p
2323,n,f,o,p
2324,n,f,o,p
2325,n,f,o,p
2326,n,f,o,p
2327,n,f,o,p
2328,n,f,o,p
2329,n,f,o,p
2330,n,f,o,p
2331,n,f,o,p
2332,n,f,o,p
2333,n,f,o,p
2334,n,f,o,p
2335,n,f,o,p
2336,n,f,o,p
2337,n,f,o,p
2338,n,f,o,p
2339,n,f,o,p
2340,n,f,o,p
2341,n,f,o,p
2342,n,f,o,p
2343,n,f,o,p
2344,n,f,o,p
2345,n,f,o,p
2346,n,f,o,p
2347,n,f,o,e
2348,n,f,o,p
2349,n,f,o,e
2350,n,f,o,p
2351,n,f,o,p
2352,p,f,o,p
2353,n,f,o,p
2354,n,f,o,p
2355,n,f,o,p
2356,n,f,o,p
2357,n,f,o,p
2358,n,f,o,p
2359,n,f,o,p
2360,n,f,o,p
2361,n,f,o,p
2362,n,f,o,p
2363,n,f,o,p
2364,n,f,o,p
2365,n,f,o,p
2366,n,f,o,p
2367,n,f,o,p
2368,n,f,o,e
2369,n,f,o,p
2370,n,f,o,p
2371,n,f,o,p
2372,n,f,o,p
2373,n,f,o,p
2374,n,f,o,p
2375,n,f,o,p
2376,p,f,o,p
2377,n,f,o,p
2378,n,f,o,e
2379,n,f,o,e
2380,n,f,o,p
2381,n,f,o,p
2382,n,f,o,p
2383,n,f,o,p
2384,n,f,o,p
2385,n,f,o,p
2386,f,f,o,l
2387,n,f,o,p
2388,n,f,o,e
2389,p,f,o,p
2390,n,f,o,p
2391,n,f,o,p
2392,n,f,o,p
2393,n,f,o,p
2394,n,f,o,p
2395,n,f,o,p
2396,n,f,o,p
2397,n,f,o,p
2398,n,f,o,p
2399,n,f,o,p
2400,n,f,o,p
2401,p,f,o,p
2402,n,f,o,p
2403,n,f,o,p
2404,n,f,o,p
2405,n,f,o,p
2406,n,f,o,p
2407,n,f,o,p
2408,n,f,o,p
2409,n,f,o,p
2410,n,f,o,p
2411,n,f,o,p
2412,n,f,o,p
2413,n,f,o,p
2414,n,f,o,p
2415,n,f,o,p
2416,n,f,o,p
2417,n,f,o,p
2418,n,f,o,p
2419,n,f,o,p
2420,n,f,o,p
2421,n,f,o,p
2422,n,f,o,p
2423,n,f,o,p
2424,n,f,o,p
2425,n,f,o,p
2426,n,f,o,p
2427,c,f,o,p
2428,n,f,o,p
2429,n,f,o,p
2430,n,f,o,p
2431,n,f,o,p
2432,n,f,o,p
2433,n,f,o,p
2434,n,f,o,p
2435,n,f,o,p
2436,n,f,o,p
2437,n,f,o,p
2438,n,f,o,p
2439,n,f,o,p
2440,n,f,o,p
2441,n,f,o,p
2442,n,f,o,p
2443,n,f,o,p
2444,f,f,o,l
2445,n,f,o,p
2446,n,f,o,p
2447,n,f,o,p
2448,n,f,o,p
2449,n,f,o,p
2450,n,f,o,p
2451,n,f,o,p
2452,n,f,o,p
2453,n,f,o,e
2454,n,f,o,p
2455,n,f,o,p
2456,n,f,o,p
2457,n,f,o,p
2458,n,f,o,p
2459,n,f,o,p
2460,n,f,o,p
2461,n,f,o,p
2462,n,f,o,p
2463,n,f,o,p
2464,n,f,o,p
2465,n,f,o,p
2466,n,f,o,p
2467,n,f,o,p
2468,n,f,o,p
2469,n,f,o,p
2470,n,f,o,p
2471,n,f,o,p
2472,n,f,o,p
2473,n,f,o,p
2474,n,f,o,p
2475,n,f,o,p
2476,n,f,o,p
2477,n,f,o,p
2478,n,f,o,p
2479,p,f,o,p
2480,n,f,o,e
2481,n,f,o,p
2482,n,f,o,p
2483,c,f,o,p
2484,n,f,o,p
2485,n,f,o,p
2486,n,f,o,p
2487,n,f,o,p
2488,n,f,o,e
2489,n,f,o,p
2490,n,f,o,p
2491,n,f,o,p
2492,n,f,o,p
2493,n,f,o,p
2494,n,f,o,p
2495,n,f,o,p
2496,p,f,o,p
2497,n,f,o,p
2498,n,f,o,p
2499,n,f,o,p
2500,n,f,o,p
2501,n,f,o,e
2502,n,f,o,e
2503,n,f,o,p
2504,n,f,o,p
2505,n,f,o,p
2506,n,f,o,p
2507,n,f,o,p
2508,n,f,o,p
2509,n,f,o,p
2510,n,f,o,p
2511,n,f,o,p
2512,n,f,o,p
2513,c,f,o,p
2514,n,f,o,p
2515,n,f,o,p
2516,n,f,o,p
2517,n,f,o,p
2518,n,f,o,p
2519,n,f,o,e
2520,n,f,o,p
2521,n,f,o,p
2522,n,f,o,p
2523,n,f,o,p
2524,n,f,o,p
2525,n,f,o,p
2526,n,f,o,p
2527,n,f,o,p
2528,n,f,o,p
2529,n,f,o,p
2530,n,f,o,p
2531,n,f,o,p
2532,n,f,o,p
2533,n,f,o,p
2534,f,f,o,l
2535,n,f,o,p
2536,n,f,o,p
2537,f,f,o,l
2538,n,f,o,p
2539,n,f,o,p
2540,f,f,o,l
2541,c,f,o,p
2542,n,f,o,p
2543,n,f,o,p
2544,n,f,o,p
2545,n,f,o,p
2546,n,f,o,p
2547,n,f,o,p
2548,n,f,o,p
2549,n,f,o,p
2550,n,f,o,p
2551,n,f,o,p
2552,n,f,o,p
2553,n,f,o,p
2554,n,f,o,p
2555,n,f,o,p
2556,n,f,o,p
2557,n,f,o,p
2558,n,f,o,p
2559,n,f,o,p
2560,n,f,o,p
2561,c,f,o,p
2562,n,f,o,p
2563,n,f,o,p
2564,n,f,o,p
2565,n,f,o,p
2566,n,f,o,p
2567,f,f,o,l
2568,n,f,o,p
2569,n,f,o,p
2570,n,f,o,p
2571,n,f,o,p
2572,f,f,o,l
2573,n,f,o,p
2574,n,f,o,p
2575,n,f,o,p
2576,n,f,o,p
2577,n,f,o,p
2578,n,f,o,p
2579,n,f,o,p
2580,n,f,o,p
2581,n,f,o,p
2582,n,f,o,p
2583,n,f,o,p
2584,n,f,o,p
2585,n,f,o,p
2586,n,f,o,p
2587,n,f,o,p
2588,n,f,o,p
2589,n,f,o,p
2590,n,f,o,p
2591,n,f,o,p
2592,n,f,o,p
2593,n,f,o,p
2594,n,f,o,p
2595,f,f,o,l
2596,n,f,o,p
2597,n,f,o,p
2598,n,f,o,p
2599,n,f,o,p
2600,n,f,o,p
2601,n,f,o,p
2602,n,f,o,p
2603,n,f,o,p
2604,n,f,o,p
2605,n,f,o,p
2606,f,f,o,l
2607,n,f,o,p
2608,n,f,o,p
2609,n,f,o,p
2610,n,f,o,p
2611,n,f,o,p
2612,n,f,o,p
2613,n,f,o,p
2614,n,f,o,p
2615,n,f,o,p
2616,n,f,o,p
2617,n,f,o,p
2618,n,f,o,p
2619,n,f,o,p
2620,n,f,o,p
2621,n,f,o,p
2622,n,f,o,p
2623,n,f,o,p
2624,n,f,o,p
2625,n,f,o,p
2626,n,f,o,p
2627,n,f,o,p
2628,c,f,o,p
2629,n,f,o,p
