id,cap-shape,cap-surface,odor,gill-attachment,gill-spacing,stalk-surface-below-ring,veil-type,ring-number,ring-type,population
1987,x,s,n,f,w,s,p,o,e,a
1988,f,y,p,f,c,s,p,o,p,s
1989,x,f,n,f,c,s,p,o,p,v
1990,f,s,p,f,c,s,p,o,p,s
1991,f,y,p,f,c,s,p,o,p,v
1992,x,f,n,f,c,s,p,o,p,v
1993,f,s,n,f,w,f,p,o,e,a
1994,x,f,n,f,c,s,p,o,p,y
1995,x,f,n,f,w,f,p,o,e,a
1996,x,f,n,f,c,s,p,o,p,y
1997,f,s,n,f,w,s,p,o,e,s
1998,f,f,n,f,w,f,p,o,e,a
1999,x,s,n,f,w,f,p,o,e,a
2000,x,s,n,f,w,f,p,o,e,s
2001,x,f,n,f,c,s,p,o,p,v
2002,x,y,n,f,c,s,p,o,p,v
2003,f,s,n,f,w,f,p,o,e,a
2004,x,f,n,f,c,s,p,o,p,y
2005,f,y,p,f,c,s,p,o,p,v
2006,x,y,l,f,c,y,p,o,p,s
2007,f,s,p,f,c,s,p,o,p,s
2008,f,f,n,f,w,s,p,o,e,s
2009,f,f,n,f,w,f,p,o,e,a
2010,f,s,p,f,c,s,p,o,p,v
2011,x,s,n,f,w,f,p,o,e,a
2012,x,f,n,f,w,f,p,o,e,s
2013,x,f,n,f,c,s,p,o,p,v
2014,f,f,n,f,w,s,p,o,e,a
2015,x,f,n,f,w,s,p,o,e,s
2016,f,s,n,f,w,s,p,o,e,a
2017,f,f,n,f,w,s,p,o,e,s
2018,f,s,a,f,w,s,p,o,p,v
2019,f,f,a,f,w,s,p,o,p,v
2020,f,f,n,f,w,f,p,o,e,a
2021,x,f,n,f,c,s,p,o,p,y
2022,x,y,n,f,c,s,p,o,p,y
2023,x,f,n,f,c,s,p,o,p,y
2024,x,f,n,f,w,f,p,o,e,s
2025,x,f,n,f,c,s,p,o,p,y
2026,x,f,n,f,c,s,p,o,p,v
2027,x,f,n,f,w,s,p,o,e,a
2028,x,f,n,f,c,s,p,o,p,v
2029,x,s,n,f,w,f,p,o,e,a
2030,b,y,l,f,c,s,p,o,p,s
2031,x,y,n,f,c,s,p,o,p,v
2032,f,s,n,f,w,f,p,o,e,s
2033,x,f,n,f,c,s,p,o,p,y
2034,f,y,n,f,c,s,p,o,p,y
2035,x,y,n,f,c,s,p,o,p,v
2036,x,s,n,f,w,s,p,o,e,a
2037,x,s,n,f,w,s,p,o,e,s
2038,x,f,n,f,w,f,p,o,e,a
2039,x,s,n,f,w,s,p,o,e,a
2040,x,y,n,f,c,s,p,o,p,y
2041,f,f,n,f,c,s,p,o,p,y
2042,f,f,n,f,c,s,p,o,p,y
2043,x,f,n,f,w,f,p,o,e,s
2044,f,s,n,f,w,f,p,o,e,s
2045,x,f,n,f,w,s,p,o,e,s
2046,x,y,a,f,c,y,p,o,p,s
2047,x,f,n,f,c,s,p,o,p,v
2048,x,f,n,f,w,s,p,o,e,s
2049,x,y,n,f,c,s,p,o,p,v
2050,f,f,n,f,c,s,p,o,p,y
2051,x,f,n,f,w,s,p,o,e,a
2052,x,y,a,f,c,s,p,o,p,s
2053,x,s,n,f,w,s,p,o,e,s
2054,f,s,n,f,w,s,p,o,e,a
2055,f,f,n,f,c,s,p,o,p,v
2056,f,f,n,f,w,f,p,o,e,s
2057,x,f,n,f,c,s,p,o,p,v
2058,x,f,n,f,c,s,p,o,p,y
2059,x,f,n,f,w,f,p,o,e,a
2060,x,s,a,f,c,s,p,o,p,n
2061,f,s,n,f,w,s,p,o,e,s
2062,f,y,p,f,c,s,p,o,p,v
2063,f,f,n,f,w,s,p,o,e,s
2064,x,f,n,f,c,s,p,o,p,v
2065,x,f,n,f,w,f,p,o,e,s
2066,x,y,n,f,c,s,p,o,p,v
2067,x,y,n,f,c,s,p,o,p,v
2068,f,s,p,f,c,s,p,o,p,v
2069,f,s,n,f,w,s,p,o,e,a
2070,x,f,n,f,c,s,p,o,p,y
2071,f,f,n,f,c,s,p,o,p,y
2072,x,f,n,f,c,s,p,o,p,v
2073,x,f,n,f,c,s,p,o,p,y
2074,x,f,n,f,c,s,p,o,p,y
2075,x,s,p,f,c,s,p,o,p,v
2076,x,s,l,f,c,s,p,o,p,n
2077,x,f,n,f,c,s,p,o,p,v
2078,f,y,n,f,c,s,p,o,p,y
2079,x,s,n,f,w,f,p,o,e,s
2080,x,y,n,f,c,s,p,o,p,y
2081,x,f,n,f,w,s,p,o,e,s
2082,f,s,n,f,w,s,p,o,e,s
2083,x,f,n,f,c,s,p,o,p,v
2084,f,f,n,f,c,s,p,o,p,v
2085,f,f,n,f,w,f,p,o,e,s
2086,f,f,n,f,w,s,p,o,e,s
2087,f,f,n,f,w,f,p,o,e,s
2088,x,f,n,f,c,s,p,o,p,y
2089,x,f,n,f,c,s,p,o,p,y
2090,f,y,p,f,c,s,p,o,p,s
2091,x,y,n,f,c,s,p,o,p,v
2092,x,s,n,f,w,f,p,o,e,a
2093,b,s,a,f,c,s,p,o,p,s
2094,x,s,n,f,w,f,p,o,e,s
2095,f,f,n,f,w,f,p,o,e,s
2096,x,y,n,f,c,s,p,o,p,y
2097,f,f,n,f,c,s,p,o,p,v
2098,x,f,n,f,w,s,p,o,e,s
2099,x,s,p,f,c,s,p,o,p,s
2100,x,s,n,f,w,s,p,o,e,a
2101,x,y,n,f,c,s,p,o,p,y
2102,f,f,n,f,c,s,p,o,p,v
2103,x,y,n,f,c,s,p,o,p,v
2104,x,f,n,f,c,s,p,o,p,y
2105,f,f,n,f,c,s,p,o,p,y
2106,x,f,n,f,c,s,p,o,p,y
2107,f,f,n,f,c,s,p,o,p,v
2108,x,y,n,f,c,s,p,o,p,y
2109,x,f,n,f,c,s,p,o,p,v
2110,f,f,n,f,c,s,p,o,p,v
2111,x,f,n,f,c,s,p,o,p,v
2112,x,y,n,f,c,s,p,o,p,v
2113,x,s,p,f,c,s,p,o,p,v
2114,x,f,n,f,c,s,p,o,p,v
2115,x,y,n,f,c,s,p,o,p,v
2116,x,f,n,f,c,s,p,o,p,y
2117,x,y,n,f,c,s,p,o,p,y
2118,x,y,n,f,c,s,p,o,p,v
2119,x,f,n,f,c,s,p,o,p,v
2120,x,y,n,f,c,s,p,o,p,v
2121,x,f,n,f,c,s,p,o,p,y
2122,f,y,n,f,c,s,p,o,p,y
2123,f,f,n,f,c,s,p,o,p,v
2124,x,f,n,f,c,s,p,o,p,v
2125,f,y,n,f,c,s,p,o,p,v
2126,x,y,n,f,c,s,p,o,p,v
2127,x,f,n,f,c,s,p,o,p,y
2128,x,y,n,f,c,s,p,o,p,v
2129,x,f,f,f,c,k,p,o,l,y
2130,f,s,p,f,c,s,p,o,p,s
2131,x,f,n,f,c,s,p,o,p,v
2132,x,f,n,f,w,s,p,o,e,s
2133,x,y,n,f,c,s,p,o,p,v
2134,f,f,n,f,c,s,p,o,p,y
2135,x,f,n,f,c,s,p,o,p,v
2136,x,y,n,f,c,s,p,o,p,y
2137,x,y,n,f,c,s,p,o,p,v
2138,x,f,n,f,c,s,p,o,p,v
2139,x,y,n,f,c,s,p,o,p,y
2140,x,f,n,f,c,s,p,o,p,y
2141,x,f,n,f,c,s,p,o,p,v
2142,x,y,n,f,c,s,p,o,p,v
2143,x,y,n,f,c,s,p,o,p,y
2144,x,y,n,f,c,s,p,o,p,y
2145,f,y,n,f,c,s,p,o,p,v
2146,f,y,n,f,c,s,p,o,p,v
2147,x,y,n,f,c,s,p,o,p,v
2148,f,s,p,f,c,s,p,o,p,v
2149,f,f,n,f,c,s,p,o,p,y
2150,x,s,p,f,c,s,p,o,p,s
2151,x,f,n,f,c,s,p,o,p,y
2152,f,f,n,f,c,s,p,o,p,y
2153,x,y,n,f,c,s,p,o,p,v
2154,f,f,n,f,c,s,p,o,p,v
2155,x,f,n,f,c,s,p,o,p,y
2156,x,f,n,f,c,s,p,o,p,v
2157,x,y,n,f,c,s,p,o,p,y
2158,f,f,n,f,c,s,p,o,p,v
2159,f,f,n,f,c,s,p,o,p,y
2160,x,f,n,f,c,s,p,o,p,v
2161,x,f,n,f,c,s,p,o,p,y
2162,x,f,n,f,c,s,p,o,p,y
2163,f,f,n,f,c,s,p,o,p,v
2164,x,y,n,f,c,s,p,o,p,y
2165,f,f,n,f,c,s,p,o,p,y
2166,x,f,n,f,c,s,p,o,p,y
2167,x,y,n,f,c,s,p,o,p,y
2168,x,f,n,f,c,s,p,o,p,y
2169,x,y,n,f,c,s,p,o,p,y
2170,x,y,n,f,c,s,p,o,p,v
2171,x,y,n,f,c,s,p,o,p,v
2172,x,f,n,f,c,s,p,o,p,v
2173,f,f,n,f,c,s,p,o,p,v
2174,x,y,n,f,c,s,p,o,p,v
2175,x,y,n,f,c,s,p,o,p,y
2176,f,f,n,f,c,s,p,o,p,v
2177,f,f,n,f,c,s,p,o,p,y
2178,x,y,n,f,c,s,p,o,p,v
2179,x,f,f,f,c,k,p,o,l,y
2180,x,y,n,f,c,s,p,o,p,y
2181,x,f,n,f,c,s,p,o,p,y
2182,x,y,n,f,c,s,p,o,p,v
2183,f,f,n,f,c,s,p,o,p,y
2184,x,y,n,f,c,s,p,o,p,v
2185,f,f,n,f,c,s,p,o,p,v
2186,f,y,n,f,c,s,p,o,p,y
2187,f,f,n,f,c,s,p,o,p,y
2188,x,f,n,f,c,s,p,o,p,y
2189,x,f,n,f,c,s,p,o,p,v
2190,x,f,n,f,c,s,p,o,p,v
2191,x,f,n,f,c,s,p,o,p,v
2192,x,f,n,f,c,s,p,o,p,y
2193,x,s,n,f,w,s,p,o,e,s
2194,x,y,n,f,c,s,p,o,p,y
2195,f,f,n,f,c,s,p,o,p,y
2196,x,y,n,f,c,s,p,o,p,v
2197,f,f,n,f,c,s,p,o,p,v
2198,x,f,n,f,c,s,p,o,p,y
2199,x,f,n,f,c,s,p,o,p,v
2200,f,f,n,f,c,s,p,o,p,y
2201,x,s,n,f,w,f,p,o,e,a
2202,x,f,n,f,c,s,p,o,p,y
2203,f,f,n,f,c,s,p,o,p,v
2204,f,f,n,f,c,s,p,o,p,y
2205,x,y,n,f,c,s,p,o,p,y
2206,x,f,n,f,c,s,p,o,p,v
2207,x,y,n,f,c,s,p,o,p,v
2208,x,f,n,f,c,s,p,o,p,y
2209,f,y,n,f,c,s,p,o,p,y
2210,x,y,n,f,c,s,p,o,p,v
2211,x,s,c,f,w,s,p,o,p,s
2212,x,y,n,f,c,s,p,o,p,y
2213,f,f,n,f,c,s,p,o,p,v
2214,x,y,n,f,c,s,p,o,p,y
2215,f,f,n,f,c,s,p,o,p,v
2216,x,y,n,f,c,s,p,o,p,v
2217,x,f,n,f,c,s,p,o,p,y
2218,f,f,n,f,c,s,p,o,p,v
2219,x,y,n,f,c,s,p,o,p,v
2220,x,y,n,f,c,s,p,o,p,v
2221,x,f,n,f,c,s,p,o,p,v
2222,f,f,n,f,c,s,p,o,p,v
2223,x,y,n,f,c,s,p,o,p,v
2224,x,y,n,f,c,s,p,o,p,v
2225,f,f,n,f,c,s,p,o,p,y
2226,x,f,n,f,c,s,p,o,p,v
2227,x,f,n,f,c,s,p,o,p,y
2228,x,f,n,f,w,f,p,o,e,s
2229,x,y,n,f,c,s,p,o,p,y
2230,x,f,n,f,c,s,p,o,p,v
2231,x,y,n,f,c,s,p,o,p,v
2232,x,f,n,f,c,s,p,o,p,v
2233,x,f,n,f,c,s,p,o,p,y
2234,f,y,n,f,c,s,p,o,p,v
2235,f,y,n,f,c,s,p,o,p,v
2236,x,y,n,f,c,s,p,o,p,y
2237,x,y,n,f,c,s,p,o,p,y
2238,f,f,n,f,w,f,p,o,e,s
2239,x,f,f,f,c,k,p,o,l,y
2240,x,f,n,f,c,s,p,o,p,y
2241,x,y,n,f,c,s,p,o,p,y
2242,f,s,p,f,c,s,p,o,p,v
2243,f,y,n,f,c,s,p,o,p,y
2244,x,f,n,f,c,s,p,o,p,y
2245,x,y,n,f,c,s,p,o,p,v
2246,x,f,n,f,c,s,p,o,p,v
2247,x,y,n,f,c,s,p,o,p,v
2248,x,f,n,f,w,f,p,o,e,a
2249,x,f,n,f,c,s,p,o,p,y
2250,f,f,n,f,c,s,p,o,p,y
2251,x,y,n,f,c,s,p,o,p,y
2252,f,f,n,f,c,s,p,o,p,y
2253,f,f,n,f,w,f,p,o,e,s
2254,f,f,n,f,c,s,p,o,p,v
2255,x,y,n,f,c,s,p,o,p,v
2256,f,f,n,f,c,s,p,o,p,y
2257,f,y,n,f,c,s,p,o,p,y
2258,x,f,n,f,c,s,p,o,p,v
2259,x,y,n,f,c,s,p,o,p,v
2260,x,y,n,f,c,s,p,o,p,v
2261,f,s,n,f,w,s,p,o,e,a
2262,x,f,n,f,c,s,p,o,p,y
2263,f,f,n,f,c,s,p,o,p,y
2264,x,y,n,f,c,s,p,o,p,y
2265,x,y,n,f,c,s,p,o,p,y
2266,x,y,n,f,c,s,p,o,p,y
2267,f,s,n,f,w,f,p,o,e,a
2268,x,y,n,f,c,s,p,o,p,v
2269,x,y,n,f,c,s,p,o,p,y
2270,x,f,n,f,c,s,p,o,p,v
2271,f,f,n,f,c,s,p,o,p,v
2272,f,f,n,f,w,f,p,o,e,s
2273,f,f,n,f,c,s,p,o,p,v
2274,x,y,n,f,c,s,p,o,p,y
2275,f,f,n,f,c,s,p,o,p,v
2276,x,y,n,f,c,s,p,o,p,y
2277,x,f,n,f,c,s,p,o,p,y
2278,x,f,n,f,c,s,p,o,p,y
2279,x,f,n,f,c,s,p,o,p,v
2280,f,f,n,f,c,s,p,o,p,v
2281,x,f,n,f,c,s,p,o,p,y
2282,x,y,n,f,c,s,p,o,p,y
2283,x,f,n,f,c,s,p,o,p,v
2284,f,f,n,f,c,s,p,o,p,y
2285,x,y,n,f,c,s,p,o,p,y
2286,x,s,c,f,w,s,p,o,p,v
2287,f,y,n,f,c,s,p,o,p,y
2288,f,f,n,f,c,s,p,o,p,y
2289,f,s,p,f,c,s,p,o,p,s
2290,x,y,n,f,c,s,p,o,p,y
2291,x,y,n,f,c,s,p,o,p,y
2292,x,y,n,f,c,s,p,o,p,v
2293,x,y,n,f,c,s,p,o,p,v
2294,x,y,n,f,c,s,p,o,p,v
2295,x,f,n,f,c,s,p,o,p,y
2296,f,s,n,f,w,s,p,o,e,s
2297,x,y,n,f,c,s,p,o,p,v
2298,x,f,n,f,w,f,p,o,e,s
2299,x,f,n,f,c,s,p,o,p,y
2300,x,y,n,f,c,s,p,o,p,v
2301,x,y,n,f,c,s,p,o,p,v
2302,x,y,n,f,c,s,p,o,p,v
2303,x,f,n,f,c,s,p,o,p,v
2304,x,f,n,f,c,s,p,o,p,y
2305,x,y,n,f,c,s,p,o,p,v
2306,x,y,n,f,c,s,p,o,p,y
2307,f,y,n,f,c,s,p,o,p,v
2308,x,f,n,f,c,s,p,o,p,v
2309,x,y,n,f,c,s,p,o,p,y
2310,x,f,n,f,c,s,p,o,p,v
2311,x,f,n,f,c,s,p,o,p,y
2312,f,f,n,f,c,s,p,o,p,v
2313,f,f,n,f,c,s,p,o,p,y
2314,x,y,n,f,c,s,p,o,p,v
2315,x,f,n,f,c,s,p,o,p,y
2316,f,y,n,f,c,s,p,o,p,v
2317,x,y,n,f,c,s,p,o,p,v
2318,f,y,n,f,c,s,p,o,p,y
2319,x,y,n,f,c,s,p,o,p,y
2320,f,f,n,f,c,s,p,o,p,v
2321,x,y,n,f,c,s,p,o,p,y
2322,x,y,n,f,c,s,p,o,p,v
2323,x,y,n,f,c,s,p,o,p,y
2324,x,f,n,f,c,s,p,o,p,y
2325,x,f,n,f,c,s,p,o,p,y
2326,x,f,n,f,c,s,p,o,p,v
2327,f,f,n,f,c,s,p,o,p,y
2328,f,y,n,f,c,s,p,o,p,v
2329,x,f,n,f,c,s,p,o,p,v
2330,x,y,n,f,c,s,p,o,p,y
2331,f,f,n,f,c,s,p,o,p,v
2332,x,y,n,f,c,s,p,o,p,v
2333,f,f,n,f,c,s,p,o,p,y
2334,x,y,n,f,c,s,p,o,p,y
2335,x,y,n,f,c,s,p,o,p,y
2336,x,f,n,f,c,s,p,o,p,v
2337,x,f,n,f,c,s,p,o,p,v
2338,f,f,n,f,c,s,p,o,p,v
2339,x,f,n,f,c,s,p,o,p,y
2340,x,y,n,f,c,s,p,o,p,y
2341,x,y,n,f,c,s,p,o,p,v
2342,x,y,n,f,c,s,p,o,p,y
2343,x,f,n,f,c,s,p,o,p,v
2344,f,f,n,f,c,s,p,o,p,v
2345,x,y,n,f,c,s,p,o,p,y
2346,x,y,n,f,c,s,p,o,p,v
2347,x,f,n,f,w,f,p,o,e,s
2348,f,y,n,f,c,s,p,o,p,y
2349,f,s,n,f,w,f,p,o,e,s
2350,f,f,n,f,c,s,p,o,p,y
2351,x,y,n,f,c,s,p,o,p,y
2352,f,y,p,f,c,s,p,o,p,s
2353,x,y,n,f,c,s,p,o,p,v
2354,f,f,n,f,c,s,p,o,p,y
2355,x,f,n,f,c,s,p,o,p,y
2356,x,f,n,f,c,s,p,o,p,v
2357,f,f,n,f,c,s,p,o,p,v
2358,x,y,n,f,c,s,p,o,p,y
2359,x,y,n,f,c,s,p,o,p,y
2360,x,y,n,f,c,s,p,o,p,v
2361,x,y,n,f,c,s,p,o,p,y
2362,f,f,n,f,c,s,p,o,p,y
2363,x,y,n,f,c,s,p,o,p,y
2364,x,y,n,f,c,s,p,o,p,y
2365,x,f,n,f,c,s,p,o,p,v
2366,f,f,n,f,c,s,p,o,p,y
2367,x,f,n,f,c,s,p,o,p,v
2368,f,s,n,f,w,s,p,o,e,a
2369,x,y,n,f,c,s,p,o,p,v
2370,x,f,n,f,c,s,p,o,p,y
2371,x,f,n,f,c,s,p,o,p,y
2372,x,f,n,f,c,s,p,o,p,y
2373,f,f,n,f,c,s,p,o,p,y
2374,x,f,n,f,c,s,p,o,p,v
2375,x,y,n,f,c,s,p,o,p,y
2376,f,s,p,f,c,s,p,o,p,v
2377,x,f,n,f,c,s,p,o,p,v
2378,f,s,n,f,w,s,p,o,e,s
2379,x,s,n,f,w,f,p,o,e,s
2380,x,f,n,f,c,s,p,o,p,v
2381,f,f,n,f,c,s,p,o,p,y
2382,x,f,n,f,c,s,p,o,p,v
2383,x,y,n,f,c,s,p,o,p,v
2384,f,f,n,f,c,s,p,o,p,y
2385,x,f,n,f,c,s,p,o,p,v
2386,x,f,f,f,c,k,p,o,l,y
2387,x,y,n,f,c,s,p,o,p,y
2388,x,f,n,f,w,s,p,o,e,a
2389,x,s,p,f,c,s,p,o,p,v
2390,x,y,n,f,c,s,p,o,p,y
2391,f,f,n,f,c,s,p,o,p,v
2392,x,f,n,f,c,s,p,o,p,y
2393,x,y,n,f,c,s,p,o,p,v
2394,x,y,n,f,c,s,p,o,p,v
2395,f,f,n,f,c,s,p,o,p,v
2396,f,f,n,f,c,s,p,o,p,y
2397,x,f,n,f,c,s,p,o,p,v
2398,f,f,n,f,c,s,p,o,p,y
2399,x,y,n,f,c,s,p,o,p,y
2400,x,f,n,f,c,s,p,o,p,y
2401,x,s,p,f,c,s,p,o,p,v
2402,f,f,n,f,c,s,p,o,p,v
2403,x,f,n,f,c,s,p,o,p,v
2404,f,y,n,f,c,s,p,o,p,v
2405,f,y,n,f,c,s,p,o,p,v
2406,x,y,n,f,c,s,p,o,p,v
2407,x,y,n,f,c,s,p,o,p,y
2408,x,f,n,f,c,s,p,o,p,y
2409,x,y,n,f,c,s,p,o,p,y
2410,f,f,n,f,c,s,p,o,p,y
2411,x,f,n,f,c,s,p,o,p,v
2412,f,f,n,f,c,s,p,o,p,v
2413,x,y,n,f,c,s,p,o,p,v
2414,x,y,n,f,c,s,p,o,p,v
2415,x,f,n,f,c,s,p,o,p,v
2416,x,y,n,f,c,s,p,o,p,y
2417,f,f,n,f,c,s,p,o,p,v
2418,x,y,n,f,c,s,p,o,p,y
2419,x,y,n,f,c,s,p,o,p,y
2420,f,f,n,f,c,s,p,o,p,v
2421,x,f,n,f,c,s,p,o,p,y
2422,x,f,n,f,c,s,p,o,p,v
2423,x,y,n,f,c,s,p,o,p,y
2424,f,f,n,f,c,s,p,o,p,y
2425,x,f,n,f,c,s,p,o,p,y
2426,f,f,n,f,c,s,p,o,p,v
2427,x,s,c,f,c,s,p,o,p,v
2428,x,f,n,f,c,s,p,o,p,y
2429,f,f,n,f,c,s,p,o,p,y
2430,x,f,n,f,c,s,p,o,p,y
2431,f,f,n,f,c,s,p,o,p,v
2432,x,y,n,f,c,s,p,o,p,y
2433,x,f,n,f,c,s,p,o,p,y
2434,x,f,n,f,c,s,p,o,p,y
2435,x,f,n,f,c,s,p,o,p,v
2436,x,f,n,f,c,s,p,o,p,y
2437,f,f,n,f,c,s,p,o,p,y
2438,x,f,n,f,c,s,p,o,p,v
2439,f,y,n,f,c,s,p,o,p,y
2440,f,y,n,f,c,s,p,o,p,v
2441,x,y,n,f,c,s,p,o,p,y
2442,x,y,n,f,c,s,p,o,p,y
2443,x,f,n,f,c,s,p,o,p,y
2444,x,f,f,f,c,k,p,o,l,y
2445,x,y,n,f,c,s,p,o,p,v
2446,x,y,n,f,c,s,p,o,p,y
2447,x,f,n,f,c,s,p,o,p,v
2448,f,f,n,f,c,s,p,o,p,y
2449,f,f,n,f,c,s,p,o,p,v
2450,f,f,n,f,c,s,p,o,p,y
2451,f,f,n,f,c,s,p,o,p,y
2452,x,y,n,f,c,s,p,o,p,y
2453,x,f,n,f,w,f,p,o,e,a
2454,x,y,n,f,c,s,p,o,p,y
2455,x,f,n,f,c,s,p,o,p,y
2456,f,f,n,f,c,s,p,o,p,v
2457,x,y,n,f,c,s,p,o,p,y
2458,x,f,n,f,c,s,p,o,p,v
2459,x,f,n,f,c,s,p,o,p,y
2460,x,y,n,f,c,s,p,o,p,v
2461,x,f,n,f,c,s,p,o,p,v
2462,f,f,n,f,c,s,p,o,p,y
2463,x,y,n,f,c,s,p,o,p,y
2464,x,y,n,f,c,s,p,o,p,v
2465,f,f,n,f,c,s,p,o,p,y
2466,x,f,n,f,c,s,p,o,p,v
2467,f,f,n,f,c,s,p,o,p,v
2468,x,y,n,f,c,s,p,o,p,v
2469,x,f,n,f,c,s,p,o,p,y
2470,x,y,n,f,c,s,p,o,p,v
2471,f,f,n,f,c,s,p,o,p,v
2472,x,f,n,f,c,s,p,o,p,v
2473,x,f,n,f,c,s,p,o,p,v
2474,x,y,n,f,c,s,p,o,p,v
2475,x,y,n,f,c,s,p,o,p,y
2476,x,y,n,f,c,s,p,o,p,v
2477,x,y,n,f,c,s,p,o,p,v
2478,x,y,n,f,c,s,p,o,p,y
2479,f,y,p,f,c,s,p,o,p,s
2480,x,s,n,f,w,s,p,o,e,s
2481,x,f,n,f,c,s,p,o,p,v
2482,x,f,n,f,c,s,p,o,p,y
2483,x,s,c,f,w,s,p,o,p,s
2484,x,y,n,f,c,s,p,o,p,y
2485,x,f,n,f,c,s,p,o,p,v
2486,x,y,n,f,c,s,p,o,p,y
2487,x,y,n,f,c,s,p,o,p,v
2488,x,s,n,f,w,s,p,o,e,s
2489,f,f,n,f,c,s,p,o,p,v
2490,x,y,n,f,c,s,p,o,p,v
2491,x,y,n,f,c,s,p,o,p,v
2492,x,f,n,f,c,s,p,o,p,y
2493,x,y,n,f,c,s,p,o,p,v
2494,x,y,n,f,c,s,p,o,p,v
2495,x,f,n,f,c,s,p,o,p,y
2496,f,y,p,f,c,s,p,o,p,v
2497,f,f,n,f,c,s,p,o,p,y
2498,x,f,n,f,c,s,p,o,p,y
2499,x,f,n,f,c,s,p,o,p,v
2500,x,y,n,f,c,s,p,o,p,v
2501,f,s,n,f,w,f,p,o,e,s
2502,x,f,n,f,w,s,p,o,e,a
2503,x,f,n,f,c,s,p,o,p,v
2504,f,f,n,f,c,s,p,o,p,v
2505,x,y,n,f,c,s,p,o,p,y
2506,x,y,n,f,c,s,p,o,p,y
2507,x,y,n,f,c,s,p,o,p,y
2508,f,f,n,f,c,s,p,o,p,y
2509,x,f,n,f,c,s,p,o,p,v
2510,f,f,n,f,c,s,p,o,p,v
2511,f,f,n,f,c,s,p,o,p,y
2512,x,y,n,f,c,s,p,o,p,v
2513,x,s,c,f,w,s,p,o,p,s
2514,f,f,n,f,c,s,p,o,p,y
2515,f,f,n,f,c,s,p,o,p,y
2516,f,f,n,f,c,s,p,o,p,v
2517,x,y,n,f,c,s,p,o,p,v
2518,x,f,n,f,c,s,p,o,p,y
2519,f,s,n,f,w,s,p,o,e,s
2520,x,y,n,f,c,s,p,o,p,y
2521,x,f,n,f,c,s,p,o,p,v
2522,f,f,n,f,c,s,p,o,p,v
2523,f,f,n,f,c,s,p,o,p,v
2524,x,y,n,f,c,s,p,o,p,y
2525,x,y,n,f,c,s,p,o,p,y
2526,x,y,n,f,c,s,p,o,p,v
2527,x,f,n,f,c,s,p,o,p,y
2528,x,y,n,f,c,s,p,o,p,y
2529,x,y,n,f,c,s,p,o,p,v
2530,f,f,n,f,c,s,p,o,p,y
2531,x,y,n,f,c,s,p,o,p,v
2532,x,y,n,f,c,s,p,o,p,y
2533,x,y,n,f,c,s,p,o,p,y
2534,x,f,f,f,c,k,p,o,l,y
2535,f,f,n,f,c,s,p,o,p,v
2536,x,y,n,f,c,s,p,o,p,v
2537,x,f,f,f,c,k,p,o,l,v
2538,x,y,n,f,c,s,p,o,p,v
2539,x,f,n,f,c,s,p,o,p,v
2540,x,f,f,f,c,k,p,o,l,y
2541,x,f,c,f,w,s,p,o,p,s
2542,x,f,n,f,c,s,p,o,p,v
2543,f,f,n,f,c,s,p,o,p,y
2544,x,f,n,f,c,s,p,o,p,v
2545,x,y,n,f,c,s,p,o,p,y
2546,x,y,n,f,c,s,p,o,p,v
2547,f,f,n,f,c,s,p,o,p,y
2548,x,f,n,f,c,s,p,o,p,y
2549,x,f,n,f,c,s,p,o,p,v
2550,x,f,n,f,c,s,p,o,p,y
2551,x,y,n,f,c,s,p,o,p,v
2552,f,f,n,f,c,s,p,o,p,y
2553,f,f,n,f,c,s,p,o,p,v
2554,f,f,n,f,c,s,p,o,p,y
2555,x,f,n,f,c,s,p,o,p,y
2556,x,y,n,f,c,s,p,o,p,v
2557,x,y,n,f,c,s,p,o,p,v
2558,f,f,n,f,c,s,p,o,p,v
2559,x,y,n,f,c,s,p,o,p,v
2560,x,y,n,f,c,s,p,o,p,y
2561,x,f,c,f,c,s,p,o,p,v
2562,f,f,n,f,c,s,p,o,p,y
2563,x,y,n,f,c,s,p,o,p,v
2564,x,y,n,f,c,s,p,o,p,y
2565,f,f,n,f,c,s,p,o,p,v
2566,x,f,n,f,c,s,p,o,p,y
2567,x,f,f,f,c,k,p,o,l,y
2568,x,y,n,f,c,s,p,o,p,y
2569,f,f,n,f,c,s,p,o,p,v
2570,f,y,n,f,c,s,p,o,p,v
2571,x,f,n,f,c,s,p,o,p,v
2572,x,f,f,f,c,k,p,o,l,v
2573,x,y,n,f,c,s,p,o,p,y
2574,x,y,n,f,c,s,p,o,p,v
2575,x,y,n,f,c,s,p,o,p,v
2576,x,y,n,f,c,s,p,o,p,y
2577,x,y,n,f,c,s,p,o,p,y
2578,x,y,n,f,c,s,p,o,p,y
2579,x,f,n,f,c,s,p,o,p,y
2580,x,y,n,f,c,s,p,o,p,y
2581,x,y,n,f,c,s,p,o,p,v
2582,x,y,n,f,c,s,p,o,p,v
2583,f,f,n,f,c,s,p,o,p,v
2584,f,f,n,f,c,s,p,o,p,v
2585,f,f,n,f,c,s,p,o,p,v
2586,x,y,n,f,c,s,p,o,p,v
2587,x,y,n,f,c,s,p,o,p,y
2588,x,f,n,f,c,s,p,o,p,v
2589,f,f,n,f,c,s,p,o,p,v
2590,f,f,n,f,c,s,p,o,p,v
2591,x,y,n,f,c,s,p,o,p,y
2592,x,y,n,f,c,s,p,o,p,v
