id,gill-attachment,gill-color,stalk-surface-above-ring,veil-type,ring-type,classes
995,f,k,s,p,e,e
996,f,n,f,p,e,e
997,f,n,s,p,p,e
998,f,w,s,p,p,e
999,f,w,s,p,p,e
1000,f,p,s,p,p,p
1001,f,n,s,p,p,e
1002,f,p,s,p,p,e
1003,f,k,s,p,e,e
1004,f,w,s,p,p,p
1005,f,p,s,p,p,e
1006,f,p,s,p,e,e
1007,f,k,f,p,e,e
1008,f,p,f,p,e,e
1009,f,k,s,p,e,e
1010,f,k,s,p,p,e
1011,f,g,s,p,p,e
1012,f,k,s,p,e,e
1013,f,p,s,p,p,e
1014,f,n,s,p,e,e
1015,f,h,f,p,e,e
1016,f,p,s,p,p,e
1017,f,n,s,p,p,e
1018,f,p,s,p,p,e
1019,f,w,s,p,p,p
1020,f,n,s,p,p,e
1021,f,n,f,p,e,e
1022,f,w,s,p,p,e
1023,f,k,s,p,p,e
1024,f,w,s,p,p,e
1025,f,n,s,p,p,p
1026,f,p,s,p,p,p
1027,f,n,s,p,p,e
1028,f,w,s,p,p,e
1029,f,k,s,p,p,e
1030,f,k,s,p,e,e
1031,f,u,s,p,p,e
1032,f,n,s,p,p,p
1033,f,p,s,p,e,e
1034,f,p,s,p,e,e
1035,f,p,s,p,e,e
1036,f,p,f,p,e,e
1037,f,k,s,p,p,e
1038,f,n,s,p,p,e
1039,f,k,s,p,p,e
1040,f,p,s,p,p,p
1041,f,w,s,p,p,e
1042,f,n,s,p,p,e
1043,f,h,s,p,e,e
1044,f,u,s,p,p,e
1045,f,h,f,p,e,e
1046,f,w,s,p,p,e
1047,f,h,s,p,e,e
1048,f,n,s,p,p,p
1049,f,p,s,p,p,e
1050,f,k,f,p,e,e
1051,f,w,s,p,p,e
1052,f,u,s,p,p,e
1053,f,p,s,p,e,e
1054,f,w,s,p,p,e
1055,f,k,f,p,e,e
1056,f,k,s,p,p,e
1057,f,p,s,p,p,e
1058,f,k,s,p,e,e
1059,f,w,s,p,p,e
1060,f,h,s,p,e,e
1061,f,h,s,p,e,e
1062,f,n,s,p,p,e
1063,f,k,f,p,e,e
1064,f,n,f,p,e,e
1065,f,k,s,p,p,p
1066,f,p,s,p,p,e
1067,f,k,s,p,p,e
1068,f,p,f,p,e,e
1069,f,u,s,p,p,e
1070,f,n,s,p,p,e
1071,f,h,s,p,e,e
1072,f,k,s,p,p,p
1073,f,k,s,p,p,e
1074,f,p,s,p,p,e
1075,f,p,s,p,p,e
1076,f,k,f,p,e,e
1077,f,p,s,p,p,e
1078,f,n,s,p,p,p
1079,f,k,f,p,e,e
1080,f,p,s,p,p,e
1081,f,h,s,p,e,e
1082,f,k,s,p,p,p
1083,f,k,s,p,p,e
1084,f,n,f,p,e,e
1085,f,w,s,p,p,e
1086,f,p,s,p,e,e
1087,f,n,s,p,p,e
1088,f,w,s,p,p,e
1089,f,n,s,p,p,p
1090,f,w,s,p,p,e
1091,f,n,s,p,p,e
1092,f,n,s,p,p,e
1093,f,n,s,p,e,e
1094,f,n,s,p,p,e
1095,f,p,f,p,e,e
1096,f,n,s,p,p,p
1097,f,p,s,p,e,e
1098,f,h,f,p,e,e
1099,f,h,f,p,e,e
1100,f,n,s,p,p,p
1101,f,k,f,p,e,e
1102,f,k,f,p,e,e
1103,f,h,s,p,e,e
1104,f,w,s,p,p,p
1105,f,n,s,p,e,e
1106,f,n,f,p,e,e
1107,f,n,s,p,p,p
1108,f,k,s,p,e,e
1109,f,k,s,p,p,e
1110,f,h,f,p,e,e
1111,f,k,f,p,e,e
1112,f,n,s,p,p,p
1113,f,w,s,p,p,e
1114,f,k,f,p,e,e
1115,f,p,s,p,p,e
1116,f,p,s,p,e,e
1117,f,n,f,p,e,e
1118,f,h,f,p,e,e
1119,f,k,f,p,e,e
1120,f,h,s,p,e,e
1121,f,p,f,p,e,e
1122,f,k,s,p,e,e
1123,f,p,f,p,e,e
1124,f,p,s,p,p,e
1125,f,p,s,p,p,e
1126,f,p,s,p,e,e
1127,f,p,s,p,e,e
1128,f,k,s,p,p,e
1129,f,h,s,p,e,e
1130,f,k,s,p,e,e
1131,f,p,s,p,p,p
1132,f,n,f,p,e,e
1133,f,p,s,p,p,p
1134,f,k,f,p,e,e
1135,f,g,s,p,p,e
1136,f,h,s,p,e,e
1137,f,n,s,p,p,e
1138,f,w,s,p,p,e
1139,f,h,s,p,e,e
1140,f,n,f,p,e,e
1141,f,n,s,p,e,e
1142,f,p,s,p,p,e
1143,f,h,s,p,e,e
1144,f,k,s,p,e,e
1145,f,n,f,p,e,e
1146,f,n,f,p,e,e
1147,f,k,f,p,e,e
1148,f,n,s,p,e,e
1149,f,h,f,p,e,e
1150,f,h,f,p,e,e
1151,f,p,f,p,e,e
1152,f,n,s,p,p,e
1153,f,k,s,p,p,p
1154,f,h,f,p,e,e
1155,f,n,s,p,p,p
1156,f,k,s,p,p,e
1157,f,n,s,p,e,e
1158,f,h,s,p,e,e
1159,f,n,s,p,e,e
1160,f,h,f,p,e,e
1161,f,g,s,p,p,e
1162,f,n,f,p,e,e
1163,f,p,s,p,p,e
1164,f,p,s,p,p,e
1165,f,k,f,p,e,e
1166,f,w,s,p,p,e
1167,f,k,s,p,p,p
1168,f,p,s,p,p,e
1169,f,n,s,p,e,e
1170,f,g,s,p,p,e
1171,f,n,f,p,e,e
1172,f,u,s,p,p,e
1173,f,p,f,p,e,e
1174,f,g,s,p,p,e
1175,f,g,s,p,p,e
1176,f,p,s,p,p,e
1177,f,g,s,p,p,e
1178,f,g,s,p,p,e
1179,f,k,s,p,e,e
1180,f,w,s,p,p,e
1181,f,p,s,p,p,e
1182,f,p,s,p,p,e
1183,f,h,f,p,e,e
1184,f,n,s,p,p,e
1185,f,n,s,p,p,e
1186,f,n,f,p,e,e
1187,f,h,s,p,e,e
1188,f,p,s,p,p,p
1189,f,n,s,p,p,e
1190,f,p,s,p,e,e
1191,f,p,f,p,e,e
1192,f,w,s,p,p,e
1193,f,p,s,p,p,e
1194,f,p,s,p,p,e
1195,f,g,s,p,p,e
1196,f,k,s,p,p,p
1197,f,k,f,p,e,e
1198,f,n,s,p,p,e
1199,f,k,s,p,p,e
1200,f,k,s,p,p,e
1201,f,w,s,p,p,e
1202,f,g,s,p,p,e
1203,f,w,s,p,p,e
1204,f,k,s,p,e,e
1205,f,n,s,p,p,p
1206,f,h,s,p,e,e
1207,f,h,s,p,e,e
1208,f,p,s,p,p,p
1209,f,h,f,p,e,e
1210,f,p,s,p,e,e
1211,f,p,s,p,e,e
1212,f,p,s,p,e,e
1213,f,n,s,p,p,e
1214,f,n,f,p,e,e
1215,f,n,s,p,e,e
1216,f,k,s,p,p,p
1217,f,p,f,p,e,e
1218,f,p,f,p,e,e
1219,f,h,f,p,e,e
1220,f,k,f,p,e,e
1221,f,n,s,p,p,e
1222,f,k,f,p,e,e
1223,f,k,f,p,e,e
1224,f,h,f,p,e,e
1225,f,p,f,p,e,e
1226,f,k,s,p,e,e
1227,f,w,s,p,p,e
1228,f,p,s,p,e,e
1229,f,p,s,p,p,p
1230,f,w,s,p,p,e
1231,f,n,s,p,e,e
1232,f,w,s,p,p,p
1233,f,k,f,p,e,e
1234,f,p,f,p,e,e
1235,f,h,s,p,e,e
1236,f,p,s,p,e,e
1237,f,p,f,p,e,e
1238,f,h,s,p,e,e
1239,f,h,s,p,e,e
1240,f,h,s,p,e,e
1241,f,p,s,p,p,p
1242,f,k,f,p,e,e
1243,f,p,s,p,p,p
1244,f,w,s,p,p,p
1245,f,k,s,p,e,e
1246,f,k,s,p,e,e
1247,f,h,s,p,e,e
1248,f,k,s,p,e,e
1249,f,n,f,p,e,e
1250,f,k,f,p,e,e
1251,f,n,s,p,p,e
1252,f,n,s,p,p,e
1253,f,k,s,p,e,e
1254,f,p,s,p,p,p
1255,f,k,s,p,p,p
1256,f,p,f,p,e,e
1257,f,k,s,p,p,p
1258,f,h,s,p,e,e
1259,f,h,f,p,e,e
1260,f,w,s,p,p,p
1261,f,p,s,p,p,p
1262,f,w,s,p,p,p
1263,f,k,s,p,p,p
1264,f,k,f,p,e,e
1265,f,p,s,p,p,e
1266,f,k,f,p,e,e
1267,f,p,f,p,e,e
1268,f,k,s,p,p,p
1269,f,k,f,p,e,e
1270,f,n,s,p,p,e
1271,f,n,f,p,e,e
1272,f,n,f,p,e,e
1273,f,p,s,p,p,p
1274,f,k,f,p,e,e
1275,f,h,s,p,e,e
1276,f,k,s,p,p,p
1277,f,p,s,p,e,e
1278,f,n,s,p,e,e
1279,f,h,s,p,e,e
1280,f,h,f,p,e,e
1281,f,w,s,p,p,e
1282,f,n,s,p,e,e
1283,f,n,s,p,e,e
1284,f,n,f,p,e,e
1285,f,n,f,p,e,e
1286,f,h,f,p,e,e
1287,f,n,s,p,p,p
1288,f,h,f,p,e,e
1289,f,p,s,p,p,e
1290,f,n,s,p,e,e
1291,f,n,s,p,p,e
1292,f,p,f,p,e,e
1293,f,n,s,p,e,e
1294,f,k,s,p,p,p
1295,f,p,s,p,p,p
1296,f,k,f,p,e,e
1297,f,u,s,p,p,e
1298,f,k,s,p,e,e
1299,f,w,s,p,p,e
1300,f,n,s,p,e,e
1301,f,p,s,p,e,e
1302,f,k,f,p,e,e
1303,f,h,s,p,e,e
1304,f,n,s,p,p,e
1305,f,k,s,p,e,e
1306,f,h,s,p,e,e
1307,f,p,f,p,e,e
1308,f,k,s,p,e,e
1309,f,h,s,p,e,e
1310,f,p,s,p,e,e
1311,f,n,f,p,e,e
1312,f,p,s,p,e,e
1313,f,k,s,p,p,p
1314,f,n,f,p,e,e
1315,f,k,s,p,p,e
1316,f,k,f,p,e,e
1317,f,k,s,p,e,e
1318,f,n,s,p,p,e
1319,f,n,s,p,p,e
1320,f,p,s,p,e,e
1321,f,n,s,p,p,e
1322,f,n,s,p,p,p
1323,f,n,f,p,e,e
1324,f,k,s,p,p,p
1325,f,k,f,p,e,e
1326,f,n,s,p,e,e
1327,f,g,s,p,p,e
1328,f,k,f,p,e,e
1329,f,k,s,p,e,e
1330,f,k,f,p,e,e
1331,f,k,s,p,e,e
1332,f,n,s,p,e,e
1333,f,k,s,p,p,p
1334,f,p,s,p,e,e
1335,f,h,s,p,e,e
1336,f,n,s,p,p,e
1337,f,p,s,p,e,e
1338,f,u,s,p,p,e
1339,f,n,s,p,p,e
1340,f,k,f,p,e,e
1341,f,n,s,p,e,e
1342,f,h,f,p,e,e
1343,f,w,s,p,p,p
1344,f,n,s,p,p,e
1345,f,n,s,p,e,e
1346,f,h,s,p,e,e
1347,f,k,s,p,p,p
1348,f,p,f,p,e,e
1349,f,p,s,p,p,e
1350,f,u,s,p,p,e
1351,f,p,s,p,p,e
1352,f,k,f,p,e,e
1353,f,h,f,p,e,e
1354,f,k,s,p,e,e
1355,f,p,f,p,e,e
1356,f,h,f,p,e,e
1357,f,n,f,p,e,e
1358,f,p,s,p,e,e
1359,f,n,f,p,e,e
1360,f,n,f,p,e,e
1361,f,p,f,p,e,e
1362,f,w,s,p,p,p
1363,f,k,s,p,e,e
1364,f,p,s,p,e,e
1365,f,k,s,p,e,e
1366,f,p,f,p,e,e
1367,f,n,s,p,e,e
1368,f,p,s,p,e,e
1369,f,n,s,p,p,e
1370,f,n,f,p,e,e
1371,f,p,f,p,e,e
1372,f,p,s,p,e,e
1373,f,h,s,p,e,e
1374,f,g,s,p,p,e
1375,f,p,s,p,p,p
1376,f,p,s,p,p,p
1377,f,k,s,p,e,e
1378,f,k,s,p,e,e
1379,f,k,s,p,p,p
1380,f,p,s,p,e,e
1381,f,n,s,p,p,p
1382,f,k,s,p,e,e
1383,f,n,s,p,p,p
1384,f,n,f,p,e,e
1385,f,h,f,p,e,e
1386,f,h,s,p,e,e
1387,f,k,s,p,e,e
1388,f,w,s,p,p,e
1389,f,p,s,p,p,e
1390,f,k,s,p,e,e
1391,f,w,s,p,p,e
1392,f,h,s,p,e,e
1393,f,h,f,p,e,e
1394,f,p,f,p,e,e
1395,f,k,s,p,e,e
1396,f,p,s,p,p,e
1397,f,k,s,p,e,e
1398,f,h,f,p,e,e
1399,f,p,s,p,e,e
1400,f,k,s,p,p,p
1401,f,k,s,p,e,e
1402,f,p,s,p,p,e
1403,f,n,s,p,p,e
1404,f,n,s,p,e,e
1405,f,h,f,p,e,e
1406,f,p,s,p,p,p
1407,f,h,f,p,e,e
1408,f,p,s,p,e,e
1409,f,n,s,p,e,e
1410,f,n,s,p,e,e
1411,f,k,f,p,e,e
1412,f,p,s,p,e,e
1413,f,n,f,p,e,e
1414,f,n,s,p,e,e
1415,f,k,f,p,e,e
1416,f,h,s,p,e,e
1417,f,g,s,p,p,e
1418,f,n,f,p,e,e
1419,f,h,f,p,e,e
1420,f,k,f,p,e,e
1421,f,w,s,p,p,p
1422,f,p,s,p,e,e
1423,f,n,s,p,p,e
1424,f,n,s,p,e,e
1425,f,n,s,p,e,e
1426,f,n,s,p,e,e
1427,f,p,s,p,e,e
1428,f,h,f,p,e,e
1429,f,n,s,p,p,e
1430,f,p,s,p,p,p
1431,f,p,s,p,e,e
1432,f,p,s,p,p,e
1433,f,w,s,p,p,p
1434,f,p,s,p,p,p
1435,f,p,s,p,p,p
1436,f,u,s,p,p,e
1437,f,g,s,p,p,e
1438,f,k,s,p,p,p
1439,f,p,s,p,e,e
1440,f,n,f,p,e,e
1441,f,n,s,p,p,e
1442,f,h,f,p,e,e
1443,f,p,s,p,e,e
1444,f,n,f,p,e,e
1445,f,p,s,p,p,p
1446,f,w,s,p,p,p
1447,f,p,s,p,e,e
1448,f,p,f,p,e,e
1449,f,n,s,p,p,e
1450,f,k,f,p,e,e
1451,f,h,f,p,e,e
1452,f,k,s,p,p,p
1453,f,n,f,p,e,e
1454,f,p,s,p,p,p
1455,f,n,f,p,e,e
1456,f,p,f,p,e,e
1457,f,n,s,p,e,e
1458,f,n,s,p,p,e
1459,f,h,f,p,e,e
1460,f,k,s,p,p,p
1461,f,p,s,p,p,e
1462,f,n,f,p,e,e
1463,f,k,f,p,e,e
1464,f,n,s,p,p,e
1465,f,p,f,p,e,e
1466,f,p,s,p,p,e
1467,f,n,s,p,p,e
1468,f,p,s,p,p,e
1469,f,h,s,p,e,e
1470,f,n,s,p,e,e
1471,f,u,s,p,p,e
1472,f,p,f,p,e,e
1473,f,n,s,p,p,p
1474,f,p,s,p,e,e
1475,f,h,s,p,e,e
1476,f,k,s,p,e,e
1477,f,p,f,p,e,e
1478,f,k,f,p,e,e
1479,f,p,s,p,p,p
1480,f,k,f,p,e,e
1481,f,k,f,p,e,e
1482,f,n,f,p,e,e
1483,f,p,s,p,e,e
1484,f,k,s,p,e,e
1485,f,n,s,p,p,e
1486,f,n,s,p,p,p
1487,f,p,s,p,e,e
1488,f,k,f,p,e,e
1489,f,h,s,p,e,e
1490,f,p,s,p,p,p
1491,f,p,f,p,e,e
1492,f,p,s,p,p,p
1493,f,n,f,p,e,e
1494,f,p,f,p,e,e
1495,f,n,s,p,e,e
1496,f,n,s,p,e,e
1497,f,h,s,p,e,e
1498,f,p,s,p,e,e
1499,f,k,s,p,e,e
1500,f,p,s,p,e,e
1501,f,p,s,p,e,e
1502,f,n,s,p,p,e
1503,f,k,s,p,e,e
1504,f,h,s,p,e,e
1505,f,n,f,p,e,e
1506,f,p,s,p,p,e
1507,f,w,s,p,p,p
1508,f,p,s,p,p,e
1509,f,h,f,p,e,e
1510,f,p,s,p,p,e
1511,f,n,f,p,e,e
1512,f,k,s,p,e,e
1513,f,h,s,p,e,e
1514,f,g,s,p,p,e
1515,f,p,s,p,p,e
1516,f,n,f,p,e,e
1517,f,h,s,p,e,e
1518,f,n,s,p,e,e
1519,f,g,s,p,p,e
1520,f,h,f,p,e,e
1521,f,n,s,p,p,e
1522,f,n,s,p,e,e
1523,f,k,s,p,e,e
1524,f,n,f,p,e,e
1525,f,n,s,p,e,e
1526,f,n,f,p,e,e
1527,f,w,s,p,p,e
1528,f,n,f,p,e,e
1529,f,g,s,p,p,e
1530,f,n,f,p,e,e
1531,f,n,s,p,p,p
1532,f,h,s,p,e,e
1533,f,n,s,p,p,p
1534,f,h,s,p,e,e
1535,f,k,f,p,e,e
1536,f,p,s,p,p,p
1537,f,p,f,p,e,e
1538,f,p,s,p,p,p
1539,f,p,f,p,e,e
1540,f,p,s,p,e,e
1541,f,w,s,p,p,p
1542,f,n,s,p,e,e
1543,f,h,s,p,e,e
1544,f,p,f,p,e,e
1545,f,p,f,p,e,e
1546,f,u,s,p,p,e
1547,f,k,s,p,p,p
1548,f,k,f,p,e,e
1549,f,w,s,p,p,e
1550,f,h,s,p,e,e
1551,f,k,f,p,e,e
1552,f,g,s,p,p,e
1553,f,k,s,p,e,e
1554,f,n,f,p,e,e
1555,f,h,s,p,e,e
1556,f,w,s,p,p,p
1557,f,h,s,p,e,e
1558,f,w,s,p,p,e
1559,f,p,s,p,e,e
1560,f,h,s,p,e,e
1561,f,h,f,p,e,e
1562,f,p,s,p,e,e
1563,f,p,f,p,e,e
1564,f,p,s,p,p,e
1565,f,g,s,p,p,e
1566,f,n,s,p,p,e
1567,f,p,s,p,p,p
1568,f,h,s,p,e,e
1569,f,k,s,p,p,p
1570,f,n,s,p,e,e
1571,f,k,s,p,e,e
1572,f,k,s,p,e,e
1573,f,n,f,p,e,e
1574,f,n,f,p,e,e
1575,f,g,s,p,p,e
1576,f,k,s,p,e,e
1577,f,k,f,p,e,e
1578,f,p,s,p,p,p
1579,f,n,s,p,e,e
1580,f,n,s,p,p,p
1581,f,n,s,p,e,e
1582,f,p,s,p,p,e
1583,f,k,s,p,e,e
1584,f,w,s,p,p,p
1585,f,h,s,p,e,e
1586,f,w,s,p,p,p
1587,f,p,s,p,p,e
1588,f,p,f,p,e,e
1589,f,n,s,p,p,e
1590,f,h,f,p,e,e
1591,f,p,s,p,e,e
1592,f,n,f,p,e,e
1593,f,p,f,p,e,e
1594,f,n,s,p,e,e
1595,f,n,f,p,e,e
1596,f,k,f,p,e,e
1597,f,w,s,p,p,e
1598,f,p,f,p,e,e
1599,f,p,f,p,e,e
1600,f,w,s,p,p,e
1601,f,n,s,p,p,e
1602,f,k,f,p,e,e
1603,f,k,s,p,e,e
1604,f,h,f,p,e,e
1605,f,p,s,p,e,e
1606,f,n,s,p,e,e
1607,f,k,s,p,e,e
1608,f,n,s,p,e,e
1609,f,p,s,p,p,e
1610,f,k,f,p,e,e
1611,f,k,f,p,e,e
1612,f,p,f,p,e,e
1613,f,p,s,p,p,e
1614,f,p,s,p,p,p
1615,f,p,s,p,p,p
1616,f,u,s,p,p,e
1617,f,n,f,p,e,e
1618,f,k,s,p,e,e
1619,f,h,s,p,e,e
1620,f,h,f,p,e,e
1621,f,h,s,p,e,e
1622,f,n,f,p,e,e
1623,f,p,s,p,e,e
1624,f,n,s,p,e,e
1625,f,n,s,p,p,e
1626,f,k,s,p,p,p
1627,f,h,f,p,e,e
1628,f,n,s,p,p,e
1629,f,k,s,p,p,p
1630,f,k,s,p,p,p
1631,f,n,s,p,p,p
1632,f,h,s,p,e,e
1633,f,h,f,p,e,e
1634,f,h,f,p,e,e
1635,f,h,s,p,e,e
1636,f,k,s,p,e,e
1637,f,p,s,p,p,p
1638,f,n,s,p,p,p
1639,f,p,f,p,e,e
1640,f,k,f,p,e,e
1641,f,h,f,p,e,e
1642,f,w,s,p,p,e
1643,f,n,s,p,p,e
1644,f,p,f,p,e,e
1645,f,n,f,p,e,e
1646,f,k,f,p,e,e
1647,f,n,s,p,p,e
1648,f,n,f,p,e,e
1649,f,h,s,p,e,e
1650,f,n,s,p,e,e
1651,f,p,f,p,e,e
1652,f,n,s,p,e,e
1653,f,h,f,p,e,e
1654,f,h,f,p,e,e
1655,f,p,s,p,e,e
1656,f,p,s,p,e,e
1657,f,n,f,p,e,e
1658,f,p,s,p,e,e
1659,f,h,s,p,e,e
1660,f,n,s,p,e,e
1661,f,h,f,p,e,e
1662,f,p,s,p,e,e
1663,f,g,s,p,p,e
1664,f,n,s,p,p,e
1665,f,p,s,p,e,e
1666,f,k,s,p,p,p
1667,f,k,s,p,e,e
1668,f,w,s,p,p,p
1669,f,n,s,p,p,e
1670,f,w,s,p,p,p
1671,f,g,s,p,p,e
1672,f,n,s,p,p,e
1673,f,n,s,p,p,e
1674,f,n,s,p,e,e
1675,f,p,f,p,e,e
1676,f,p,s,p,e,e
1677,f,n,f,p,e,e
1678,f,h,f,p,e,e
1679,f,n,s,p,e,e
1680,f,n,f,p,e,e
1681,f,n,s,p,p,e
1682,f,p,s,p,e,e
1683,f,w,s,p,p,e
1684,f,n,s,p,p,p
1685,f,p,f,p,e,e
1686,f,h,f,p,e,e
1687,f,n,s,p,e,e
1688,f,h,f,p,e,e
1689,f,p,s,p,p,e
1690,f,n,s,p,p,e
1691,f,n,s,p,p,e
1692,f,w,s,p,p,e
1693,f,p,f,p,e,e
1694,f,h,f,p,e,e
1695,f,n,s,p,e,e
1696,f,k,f,p,e,e
1697,f,n,f,p,e,e
1698,f,n,f,p,e,e
1699,f,k,s,p,e,e
1700,f,k,s,p,e,e
1701,f,w,s,p,p,e
1702,f,k,s,p,e,e
1703,f,n,f,p,e,e
1704,f,w,s,p,p,p
1705,f,n,s,p,p,e
1706,f,p,f,p,e,e
1707,f,n,s,p,e,e
1708,f,n,s,p,p,p
1709,f,k,s,p,e,e
1710,f,n,s,p,p,e
1711,f,p,f,p,e,e
1712,f,h,f,p,e,e
1713,f,w,s,p,p,e
1714,f,h,s,p,e,e
1715,f,p,s,p,e,e
1716,f,u,s,p,p,e
1717,f,w,s,p,p,e
1718,f,k,s,p,p,e
1719,f,p,f,p,e,e
1720,f,k,s,p,e,e
1721,f,n,f,p,e,e
1722,f,p,f,p,e,e
1723,f,h,s,p,e,e
1724,f,n,s,p,e,e
1725,f,g,s,p,p,e
1726,f,k,s,p,p,p
1727,f,k,s,p,e,e
1728,f,k,f,p,e,e
1729,f,n,s,p,p,e
1730,f,n,f,p,e,e
1731,f,k,f,p,e,e
1732,f,n,s,p,p,p
1733,f,n,f,p,e,e
1734,f,p,f,p,e,e
1735,f,n,s,p,p,p
1736,f,p,s,p,e,e
1737,f,p,f,p,e,e
1738,f,u,s,p,p,e
1739,f,p,f,p,e,e
1740,f,p,s,p,p,p
1741,f,h,s,p,e,e
1742,f,h,s,p,e,e
1743,f,p,f,p,e,e
1744,f,n,f,p,e,e
1745,f,w,s,p,p,e
1746,f,w,s,p,p,p
1747,f,p,s,p,e,e
1748,f,p,s,p,p,e
1749,f,w,s,p,p,p
1750,f,n,s,p,e,e
1751,f,k,f,p,e,e
1752,f,n,s,p,p,e
1753,f,h,f,p,e,e
1754,f,h,f,p,e,e
1755,f,n,s,p,p,p
1756,f,h,f,p,e,e
1757,f,k,s,p,e,e
1758,f,n,s,p,e,e
1759,f,p,s,p,p,e
1760,f,k,f,p,e,e
1761,f,n,f,p,e,e
1762,f,k,f,p,e,e
1763,f,h,s,p,e,e
1764,f,n,s,p,p,e
1765,f,p,f,p,e,e
1766,f,n,s,p,p,p
1767,f,n,s,p,e,e
1768,f,k,s,p,e,e
1769,f,p,s,p,p,e
1770,f,p,s,p,p,e
1771,f,k,f,p,e,e
1772,f,h,f,p,e,e
1773,f,k,s,p,e,e
1774,f,k,s,p,p,e
1775,f,p,s,p,p,e
1776,f,p,s,p,e,e
1777,f,n,f,p,e,e
1778,f,n,s,p,p,p
1779,f,k,s,p,p,p
1780,f,p,s,p,e,e
1781,f,n,s,p,p,e
1782,f,p,f,p,e,e
1783,f,k,f,p,e,e
1784,f,w,s,p,p,p
1785,f,k,s,p,p,e
1786,f,h,f,p,e,e
1787,f,n,s,p,p,p
1788,f,h,f,p,e,e
1789,f,k,s,p,e,e
1790,f,n,f,p,e,e
1791,f,n,s,p,p,p
1792,f,k,f,p,e,e
1793,f,h,f,p,e,e
1794,f,p,s,p,e,e
1795,f,p,f,p,e,e
1796,f,k,s,p,p,p
1797,f,p,s,p,e,e
1798,f,p,f,p,e,e
1799,f,k,s,p,p,p
1800,f,p,s,p,e,e
1801,f,w,s,p,p,e
1802,f,h,s,p,e,e
1803,f,u,s,p,p,e
1804,f,p,s,p,p,e
1805,f,n,s,p,p,e
1806,f,p,s,p,p,e
1807,f,h,f,p,e,e
1808,f,u,s,p,p,e
1809,f,p,s,p,p,e
1810,f,p,f,p,e,e
1811,f,n,s,p,p,p
1812,f,n,s,p,p,e
1813,f,n,s,p,p,p
1814,f,n,s,p,p,e
1815,f,h,s,p,e,e
1816,f,g,s,p,p,e
1817,f,h,k,p,l,p
1818,f,k,f,p,e,e
1819,f,p,f,p,e,e
1820,f,p,s,p,p,e
1821,f,h,s,p,e,e
1822,f,h,s,p,e,e
1823,f,p,s,p,p,p
1824,f,p,s,p,p,e
1825,f,k,s,p,p,e
1826,f,n,f,p,e,e
1827,f,n,s,p,p,e
1828,f,n,s,p,e,e
1829,f,p,f,p,e,e
1830,f,n,s,p,p,e
1831,f,w,s,p,p,e
1832,f,u,s,p,p,e
1833,f,n,f,p,e,e
1834,f,u,s,p,p,e
1835,f,u,s,p,p,e
1836,f,w,s,p,p,e
1837,f,w,s,p,p,e
1838,f,h,f,p,e,e
1839,f,p,s,p,p,e
1840,f,n,s,p,e,e
1841,f,h,f,p,e,e
1842,f,p,s,p,e,e
1843,f,p,s,p,p,e
1844,f,k,s,p,p,p
1845,f,p,s,p,p,e
1846,f,p,s,p,e,e
1847,f,h,f,p,e,e
1848,f,w,s,p,p,e
1849,f,p,s,p,p,e
1850,f,w,s,p,p,e
1851,f,n,s,p,p,e
1852,f,h,f,p,e,e
1853,f,w,s,p,p,e
1854,f,p,s,p,p,e
1855,f,u,s,p,p,e
1856,f,n,s,p,p,e
1857,f,w,s,p,p,e
1858,f,w,s,p,p,e
1859,f,w,s,p,p,p
1860,f,h,f,p,e,e
1861,f,u,s,p,p,e
1862,f,w,s,p,p,e
1863,f,h,f,p,e,e
1864,f,w,s,p,p,e
1865,f,n,s,p,e,e
1866,f,w,s,p,p,e
1867,f,u,s,p,p,e
1868,f,p,f,p,e,e
1869,f,n,s,p,e,e
1870,f,n,s,p,e,e
1871,f,n,s,p,e,e
1872,f,n,s,p,p,e
1873,f,n,s,p,e,e
1874,f,k,s,p,e,e
1875,f,w,s,p,p,e
1876,f,p,s,p,p,e
1877,f,u,s,p,p,e
1878,f,p,s,p,p,e
1879,f,h,s,p,e,e
1880,f,n,s,p,e,e
1881,f,h,s,p,e,e
1882,f,k,s,p,e,e
1883,f,u,s,p,p,e
1884,f,u,s,p,p,e
1885,f,w,s,p,p,e
1886,f,p,s,p,p,e
1887,f,k,f,p,e,e
1888,f,n,s,p,p,p
1889,f,n,s,p,p,e
1890,f,w,s,p,p,e
1891,f,k,f,p,e,e
1892,f,h,f,p,e,e
1893,f,h,s,p,e,e
1894,f,n,s,p,e,e
1895,f,h,s,p,e,e
1896,f,w,s,p,p,e
1897,f,u,s,p,p,e
1898,f,k,f,p,e,e
1899,f,n,f,p,e,e
1900,f,p,f,p,e,e
1901,f,n,s,p,p,e
1902,f,h,f,p,e,e
1903,f,k,s,p,e,e
1904,f,h,f,p,e,e
1905,f,k,s,p,e,e
1906,f,k,s,p,e,e
1907,f,p,f,p,e,e
1908,f,w,s,p,p,e
1909,f,h,s,p,e,e
1910,f,n,f,p,e,e
1911,f,p,s,p,p,e
1912,f,u,s,p,p,e
1913,f,n,s,p,p,e
1914,f,h,s,p,e,e
1915,f,p,f,p,e,e
1916,f,p,s,p,p,e
1917,f,w,s,p,p,p
1918,f,h,f,p,e,e
1919,f,k,s,p,e,e
1920,f,p,s,p,p,e
1921,f,u,s,p,p,e
1922,f,p,s,p,e,e
1923,f,n,f,p,e,e
1924,f,h,f,p,e,e
1925,f,w,s,p,p,e
