id,cap-surface,odor,gill-attachment,gill-spacing,gill-size,stalk-root,stalk-color-below-ring,ring-number,ring-type
2007,s,p,f,c,n,e,w,o,p
2008,f,n,f,w,b,e,w,o,e
2009,f,n,f,w,b,e,w,o,e
2010,s,p,f,c,n,e,w,o,p
2011,s,n,f,w,b,e,w,o,e
2012,f,n,f,w,b,e,w,o,e
2013,f,n,f,c,b,b,w,o,p
2014,f,n,f,w,b,e,w,o,e
2015,f,n,f,w,b,e,w,o,e
2016,s,n,f,w,b,e,w,o,e
2017,f,n,f,w,b,e,w,o,e
2018,s,a,f,w,n,b,w,o,p
2019,f,a,f,w,n,b,w,o,p
2020,f,n,f,w,b,e,w,o,e
2021,f,n,f,c,b,b,w,o,p
2022,y,n,f,c,b,b,p,o,p
2023,f,n,f,c,b,b,g,o,p
2024,f,n,f,w,b,e,w,o,e
2025,f,n,f,c,b,b,w,o,p
2026,f,n,f,c,b,b,p,o,p
2027,f,n,f,w,b,e,w,o,e
2028,f,n,f,c,b,b,p,o,p
2029,s,n,f,w,b,e,w,o,e
2030,y,l,f,c,b,c,w,o,p
2031,y,n,f,c,b,b,p,o,p
2032,s,n,f,w,b,e,w,o,e
2033,f,n,f,c,b,b,p,o,p
2034,y,n,f,c,b,b,g,o,p
2035,y,n,f,c,b,b,g,o,p
2036,s,n,f,w,b,e,w,o,e
2037,s,n,f,w,b,e,w,o,e
2038,f,n,f,w,b,e,w,o,e
2039,s,n,f,w,b,e,w,o,e
2040,y,n,f,c,b,b,p,o,p
2041,f,n,f,c,b,b,w,o,p
2042,f,n,f,c,b,b,w,o,p
2043,f,n,f,w,b,e,w,o,e
2044,s,n,f,w,b,e,w,o,e
2045,f,n,f,w,b,e,w,o,e
2046,y,a,f,c,b,r,w,o,p
2047,f,n,f,c,b,b,p,o,p
2048,f,n,f,w,b,e,w,o,e
2049,y,n,f,c,b,b,g,o,p
2050,f,n,f,c,b,b,p,o,p
2051,f,n,f,w,b,e,w,o,e
2052,y,a,f,c,b,c,w,o,p
2053,s,n,f,w,b,e,w,o,e
2054,s,n,f,w,b,e,w,o,e
2055,f,n,f,c,b,b,w,o,p
2056,f,n,f,w,b,e,w,o,e
2057,f,n,f,c,b,b,p,o,p
2058,f,n,f,c,b,b,g,o,p
2059,f,n,f,w,b,e,w,o,e
2060,s,a,f,c,b,c,w,o,p
2061,s,n,f,w,b,e,w,o,e
2062,y,p,f,c,n,e,w,o,p
2063,f,n,f,w,b,e,w,o,e
2064,f,n,f,c,b,b,w,o,p
2065,f,n,f,w,b,e,w,o,e
2066,y,n,f,c,b,b,w,o,p
2067,y,n,f,c,b,b,p,o,p
2068,s,p,f,c,n,e,w,o,p
2069,s,n,f,w,b,e,w,o,e
2070,f,n,f,c,b,b,g,o,p
2071,f,n,f,c,b,b,p,o,p
2072,f,n,f,c,b,b,g,o,p
2073,f,n,f,c,b,b,p,o,p
2074,f,n,f,c,b,b,g,o,p
2075,s,p,f,c,n,e,w,o,p
2076,s,l,f,c,b,c,w,o,p
2077,f,n,f,c,b,b,p,o,p
2078,y,n,f,c,b,b,w,o,p
2079,s,n,f,w,b,e,w,o,e
2080,y,n,f,c,b,b,p,o,p
2081,f,n,f,w,b,e,w,o,e
2082,s,n,f,w,b,e,w,o,e
2083,f,n,f,c,b,b,g,o,p
2084,f,n,f,c,b,b,p,o,p
2085,f,n,f,w,b,e,w,o,e
2086,f,n,f,w,b,e,w,o,e
2087,f,n,f,w,b,e,w,o,e
2088,f,n,f,c,b,b,w,o,p
2089,f,n,f,c,b,b,g,o,p
2090,y,p,f,c,n,e,w,o,p
2091,y,n,f,c,b,b,g,o,p
2092,s,n,f,w,b,e,w,o,e
2093,s,a,f,c,b,c,w,o,p
2094,s,n,f,w,b,e,w,o,e
2095,f,n,f,w,b,e,w,o,e
2096,y,n,f,c,b,b,w,o,p
2097,f,n,f,c,b,b,w,o,p
2098,f,n,f,w,b,e,w,o,e
2099,s,p,f,c,n,e,w,o,p
2100,s,n,f,w,b,e,w,o,e
2101,y,n,f,c,b,b,g,o,p
2102,f,n,f,c,b,b,w,o,p
2103,y,n,f,c,b,b,w,o,p
2104,f,n,f,c,b,b,g,o,p
2105,f,n,f,c,b,b,p,o,p
2106,f,n,f,c,b,b,g,o,p
2107,f,n,f,c,b,b,w,o,p
2108,y,n,f,c,b,b,p,o,p
2109,f,n,f,c,b,b,w,o,p
2110,f,n,f,c,b,b,w,o,p
2111,f,n,f,c,b,b,w,o,p
2112,y,n,f,c,b,b,p,o,p
2113,s,p,f,c,n,e,w,o,p
2114,f,n,f,c,b,b,g,o,p
2115,y,n,f,c,b,b,w,o,p
2116,f,n,f,c,b,b,g,o,p
2117,y,n,f,c,b,b,g,o,p
2118,y,n,f,c,b,b,p,o,p
2119,f,n,f,c,b,b,p,o,p
2120,y,n,f,c,b,b,w,o,p
2121,f,n,f,c,b,b,w,o,p
2122,y,n,f,c,b,b,w,o,p
2123,f,n,f,c,b,b,p,o,p
2124,f,n,f,c,b,b,p,o,p
2125,y,n,f,c,b,b,p,o,p
2126,y,n,f,c,b,b,g,o,p
2127,f,n,f,c,b,b,g,o,p
2128,y,n,f,c,b,b,p,o,p
2129,f,f,f,c,b,b,b,o,l
2130,s,p,f,c,n,e,w,o,p
2131,f,n,f,c,b,b,w,o,p
2132,f,n,f,w,b,e,w,o,e
2133,y,n,f,c,b,b,w,o,p
2134,f,n,f,c,b,b,w,o,p
2135,f,n,f,c,b,b,g,o,p
2136,y,n,f,c,b,b,w,o,p
2137,y,n,f,c,b,b,w,o,p
2138,f,n,f,c,b,b,p,o,p
2139,y,n,f,c,b,b,g,o,p
2140,f,n,f,c,b,b,g,o,p
2141,f,n,f,c,b,b,w,o,p
2142,y,n,f,c,b,b,g,o,p
2143,y,n,f,c,b,b,w,o,p
2144,y,n,f,c,b,b,w,o,p
2145,y,n,f,c,b,b,g,o,p
2146,y,n,f,c,b,b,w,o,p
2147,y,n,f,c,b,b,g,o,p
2148,s,p,f,c,n,e,w,o,p
2149,f,n,f,c,b,b,w,o,p
2150,s,p,f,c,n,e,w,o,p
2151,f,n,f,c,b,b,p,o,p
2152,f,n,f,c,b,b,g,o,p
2153,y,n,f,c,b,b,g,o,p
2154,f,n,f,c,b,b,g,o,p
2155,f,n,f,c,b,b,g,o,p
2156,f,n,f,c,b,b,p,o,p
2157,y,n,f,c,b,b,g,o,p
2158,f,n,f,c,b,b,g,o,p
2159,f,n,f,c,b,b,p,o,p
2160,f,n,f,c,b,b,g,o,p
2161,f,n,f,c,b,b,g,o,p
2162,f,n,f,c,b,b,w,o,p
2163,f,n,f,c,b,b,p,o,p
2164,y,n,f,c,b,b,p,o,p
2165,f,n,f,c,b,b,p,o,p
2166,f,n,f,c,b,b,p,o,p
2167,y,n,f,c,b,b,w,o,p
2168,f,n,f,c,b,b,g,o,p
2169,y,n,f,c,b,b,g,o,p
2170,y,n,f,c,b,b,g,o,p
2171,y,n,f,c,b,b,p,o,p
2172,f,n,f,c,b,b,g,o,p
2173,f,n,f,c,b,b,g,o,p
2174,y,n,f,c,b,b,w,o,p
2175,y,n,f,c,b,b,g,o,p
2176,f,n,f,c,b,b,p,o,p
2177,f,n,f,c,b,b,w,o,p
2178,y,n,f,c,b,b,w,o,p
2179,f,f,f,c,b,b,p,o,l
2180,y,n,f,c,b,b,w,o,p
2181,f,n,f,c,b,b,g,o,p
2182,y,n,f,c,b,b,p,o,p
2183,f,n,f,c,b,b,w,o,p
2184,y,n,f,c,b,b,p,o,p
2185,f,n,f,c,b,b,g,o,p
2186,y,n,f,c,b,b,g,o,p
2187,f,n,f,c,b,b,p,o,p
2188,f,n,f,c,b,b,w,o,p
2189,f,n,f,c,b,b,p,o,p
2190,f,n,f,c,b,b,w,o,p
2191,f,n,f,c,b,b,w,o,p
2192,f,n,f,c,b,b,g,o,p
2193,s,n,f,w,b,e,w,o,e
2194,y,n,f,c,b,b,g,o,p
2195,f,n,f,c,b,b,g,o,p
2196,y,n,f,c,b,b,w,o,p
2197,f,n,f,c,b,b,p,o,p
2198,f,n,f,c,b,b,p,o,p
2199,f,n,f,c,b,b,p,o,p
2200,f,n,f,c,b,b,p,o,p
2201,s,n,f,w,b,e,w,o,e
2202,f,n,f,c,b,b,w,o,p
2203,f,n,f,c,b,b,p,o,p
2204,f,n,f,c,b,b,g,o,p
2205,y,n,f,c,b,b,w,o,p
2206,f,n,f,c,b,b,w,o,p
2207,y,n,f,c,b,b,p,o,p
2208,f,n,f,c,b,b,p,o,p
2209,y,n,f,c,b,b,w,o,p
2210,y,n,f,c,b,b,p,o,p
2211,s,c,f,w,n,b,w,o,p
2212,y,n,f,c,b,b,p,o,p
2213,f,n,f,c,b,b,w,o,p
2214,y,n,f,c,b,b,p,o,p
2215,f,n,f,c,b,b,w,o,p
2216,y,n,f,c,b,b,g,o,p
2217,f,n,f,c,b,b,w,o,p
2218,f,n,f,c,b,b,w,o,p
2219,y,n,f,c,b,b,w,o,p
2220,y,n,f,c,b,b,w,o,p
2221,f,n,f,c,b,b,w,o,p
2222,f,n,f,c,b,b,p,o,p
2223,y,n,f,c,b,b,w,o,p
2224,y,n,f,c,b,b,g,o,p
2225,f,n,f,c,b,b,g,o,p
2226,f,n,f,c,b,b,p,o,p
2227,f,n,f,c,b,b,p,o,p
2228,f,n,f,w,b,e,w,o,e
2229,y,n,f,c,b,b,g,o,p
2230,f,n,f,c,b,b,w,o,p
2231,y,n,f,c,b,b,w,o,p
2232,f,n,f,c,b,b,p,o,p
2233,f,n,f,c,b,b,w,o,p
2234,y,n,f,c,b,b,g,o,p
2235,y,n,f,c,b,b,g,o,p
2236,y,n,f,c,b,b,w,o,p
2237,y,n,f,c,b,b,g,o,p
2238,f,n,f,w,b,e,w,o,e
2239,f,f,f,c,b,b,p,o,l
2240,f,n,f,c,b,b,w,o,p
2241,y,n,f,c,b,b,g,o,p
2242,s,p,f,c,n,e,w,o,p
2243,y,n,f,c,b,b,w,o,p
2244,f,n,f,c,b,b,w,o,p
2245,y,n,f,c,b,b,g,o,p
2246,f,n,f,c,b,b,w,o,p
2247,y,n,f,c,b,b,p,o,p
2248,f,n,f,w,b,e,w,o,e
2249,f,n,f,c,b,b,w,o,p
2250,f,n,f,c,b,b,w,o,p
2251,y,n,f,c,b,b,g,o,p
2252,f,n,f,c,b,b,p,o,p
2253,f,n,f,w,b,e,w,o,e
2254,f,n,f,c,b,b,w,o,p
2255,y,n,f,c,b,b,w,o,p
2256,f,n,f,c,b,b,p,o,p
2257,y,n,f,c,b,b,w,o,p
2258,f,n,f,c,b,b,g,o,p
2259,y,n,f,c,b,b,w,o,p
2260,y,n,f,c,b,b,p,o,p
2261,s,n,f,w,b,e,w,o,e
2262,f,n,f,c,b,b,p,o,p
2263,f,n,f,c,b,b,g,o,p
2264,y,n,f,c,b,b,p,o,p
2265,y,n,f,c,b,b,g,o,p
2266,y,n,f,c,b,b,w,o,p
2267,s,n,f,w,b,e,w,o,e
2268,y,n,f,c,b,b,g,o,p
2269,y,n,f,c,b,b,w,o,p
2270,f,n,f,c,b,b,g,o,p
2271,f,n,f,c,b,b,w,o,p
2272,f,n,f,w,b,e,w,o,e
2273,f,n,f,c,b,b,p,o,p
2274,y,n,f,c,b,b,w,o,p
2275,f,n,f,c,b,b,g,o,p
2276,y,n,f,c,b,b,p,o,p
2277,f,n,f,c,b,b,g,o,p
2278,f,n,f,c,b,b,p,o,p
2279,f,n,f,c,b,b,w,o,p
2280,f,n,f,c,b,b,w,o,p
2281,f,n,f,c,b,b,g,o,p
2282,y,n,f,c,b,b,g,o,p
2283,f,n,f,c,b,b,g,o,p
2284,f,n,f,c,b,b,g,o,p
2285,y,n,f,c,b,b,p,o,p
2286,s,c,f,w,n,b,w,o,p
2287,y,n,f,c,b,b,w,o,p
2288,f,n,f,c,b,b,g,o,p
2289,s,p,f,c,n,e,w,o,p
2290,y,n,f,c,b,b,g,o,p
2291,y,n,f,c,b,b,g,o,p
2292,y,n,f,c,b,b,g,o,p
2293,y,n,f,c,b,b,w,o,p
2294,y,n,f,c,b,b,g,o,p
2295,f,n,f,c,b,b,g,o,p
2296,s,n,f,w,b,e,w,o,e
2297,y,n,f,c,b,b,p,o,p
2298,f,n,f,w,b,e,w,o,e
2299,f,n,f,c,b,b,p,o,p
2300,y,n,f,c,b,b,p,o,p
2301,y,n,f,c,b,b,p,o,p
2302,y,n,f,c,b,b,p,o,p
2303,f,n,f,c,b,b,w,o,p
2304,f,n,f,c,b,b,w,o,p
2305,y,n,f,c,b,b,g,o,p
2306,y,n,f,c,b,b,p,o,p
2307,y,n,f,c,b,b,g,o,p
2308,f,n,f,c,b,b,w,o,p
2309,y,n,f,c,b,b,w,o,p
2310,f,n,f,c,b,b,w,o,p
2311,f,n,f,c,b,b,p,o,p
2312,f,n,f,c,b,b,g,o,p
2313,f,n,f,c,b,b,p,o,p
2314,y,n,f,c,b,b,p,o,p
2315,f,n,f,c,b,b,g,o,p
2316,y,n,f,c,b,b,g,o,p
2317,y,n,f,c,b,b,w,o,p
2318,y,n,f,c,b,b,p,o,p
2319,y,n,f,c,b,b,w,o,p
2320,f,n,f,c,b,b,w,o,p
2321,y,n,f,c,b,b,p,o,p
2322,y,n,f,c,b,b,p,o,p
2323,y,n,f,c,b,b,g,o,p
2324,f,n,f,c,b,b,p,o,p
2325,f,n,f,c,b,b,g,o,p
2326,f,n,f,c,b,b,p,o,p
2327,f,n,f,c,b,b,w,o,p
2328,y,n,f,c,b,b,p,o,p
2329,f,n,f,c,b,b,w,o,p
2330,y,n,f,c,b,b,w,o,p
2331,f,n,f,c,b,b,g,o,p
2332,y,n,f,c,b,b,p,o,p
2333,f,n,f,c,b,b,p,o,p
2334,y,n,f,c,b,b,g,o,p
2335,y,n,f,c,b,b,g,o,p
2336,f,n,f,c,b,b,g,o,p
2337,f,n,f,c,b,b,p,o,p
2338,f,n,f,c,b,b,p,o,p
2339,f,n,f,c,b,b,g,o,p
2340,y,n,f,c,b,b,p,o,p
2341,y,n,f,c,b,b,w,o,p
2342,y,n,f,c,b,b,p,o,p
2343,f,n,f,c,b,b,w,o,p
2344,f,n,f,c,b,b,w,o,p
2345,y,n,f,c,b,b,p,o,p
2346,y,n,f,c,b,b,p,o,p
2347,f,n,f,w,b,e,w,o,e
2348,y,n,f,c,b,b,g,o,p
2349,s,n,f,w,b,e,w,o,e
2350,f,n,f,c,b,b,w,o,p
2351,y,n,f,c,b,b,w,o,p
2352,y,p,f,c,n,e,w,o,p
2353,y,n,f,c,b,b,g,o,p
2354,f,n,f,c,b,b,w,o,p
2355,f,n,f,c,b,b,g,o,p
2356,f,n,f,c,b,b,g,o,p
2357,f,n,f,c,b,b,w,o,p
2358,y,n,f,c,b,b,g,o,p
2359,y,n,f,c,b,b,w,o,p
2360,y,n,f,c,b,b,g,o,p
2361,y,n,f,c,b,b,w,o,p
2362,f,n,f,c,b,b,w,o,p
2363,y,n,f,c,b,b,p,o,p
2364,y,n,f,c,b,b,p,o,p
2365,f,n,f,c,b,b,g,o,p
2366,f,n,f,c,b,b,g,o,p
2367,f,n,f,c,b,b,w,o,p
2368,s,n,f,w,b,e,w,o,e
2369,y,n,f,c,b,b,w,o,p
2370,f,n,f,c,b,b,g,o,p
2371,f,n,f,c,b,b,w,o,p
2372,f,n,f,c,b,b,g,o,p
2373,f,n,f,c,b,b,p,o,p
2374,f,n,f,c,b,b,p,o,p
2375,y,n,f,c,b,b,g,o,p
2376,s,p,f,c,n,e,w,o,p
2377,f,n,f,c,b,b,g,o,p
2378,s,n,f,w,b,e,w,o,e
2379,s,n,f,w,b,e,w,o,e
2380,f,n,f,c,b,b,g,o,p
2381,f,n,f,c,b,b,g,o,p
2382,f,n,f,c,b,b,g,o,p
2383,y,n,f,c,b,b,g,o,p
2384,f,n,f,c,b,b,g,o,p
2385,f,n,f,c,b,b,p,o,p
2386,f,f,f,c,b,b,n,o,l
2387,y,n,f,c,b,b,g,o,p
2388,f,n,f,w,b,e,w,o,e
2389,s,p,f,c,n,e,w,o,p
2390,y,n,f,c,b,b,p,o,p
2391,f,n,f,c,b,b,w,o,p
2392,f,n,f,c,b,b,p,o,p
2393,y,n,f,c,b,b,w,o,p
2394,y,n,f,c,b,b,p,o,p
2395,f,n,f,c,b,b,p,o,p
2396,f,n,f,c,b,b,w,o,p
2397,f,n,f,c,b,b,g,o,p
2398,f,n,f,c,b,b,p,o,p
2399,y,n,f,c,b,b,g,o,p
2400,f,n,f,c,b,b,w,o,p
2401,s,p,f,c,n,e,w,o,p
2402,f,n,f,c,b,b,w,o,p
2403,f,n,f,c,b,b,p,o,p
2404,y,n,f,c,b,b,p,o,p
2405,y,n,f,c,b,b,p,o,p
2406,y,n,f,c,b,b,w,o,p
2407,y,n,f,c,b,b,w,o,p
2408,f,n,f,c,b,b,w,o,p
2409,y,n,f,c,b,b,w,o,p
2410,f,n,f,c,b,b,g,o,p
2411,f,n,f,c,b,b,w,o,p
2412,f,n,f,c,b,b,p,o,p
2413,y,n,f,c,b,b,p,o,p
2414,y,n,f,c,b,b,p,o,p
2415,f,n,f,c,b,b,p,o,p
2416,y,n,f,c,b,b,p,o,p
2417,f,n,f,c,b,b,p,o,p
2418,y,n,f,c,b,b,w,o,p
2419,y,n,f,c,b,b,g,o,p
2420,f,n,f,c,b,b,g,o,p
2421,f,n,f,c,b,b,g,o,p
2422,f,n,f,c,b,b,w,o,p
2423,y,n,f,c,b,b,p,o,p
2424,f,n,f,c,b,b,p,o,p
2425,f,n,f,c,b,b,w,o,p
2426,f,n,f,c,b,b,g,o,p
2427,s,c,f,c,n,b,w,o,p
2428,f,n,f,c,b,b,p,o,p
2429,f,n,f,c,b,b,g,o,p
2430,f,n,f,c,b,b,p,o,p
2431,f,n,f,c,b,b,g,o,p
2432,y,n,f,c,b,b,g,o,p
2433,f,n,f,c,b,b,g,o,p
2434,f,n,f,c,b,b,w,o,p
2435,f,n,f,c,b,b,w,o,p
2436,f,n,f,c,b,b,g,o,p
2437,f,n,f,c,b,b,g,o,p
2438,f,n,f,c,b,b,g,o,p
2439,y,n,f,c,b,b,g,o,p
2440,y,n,f,c,b,b,w,o,p
2441,y,n,f,c,b,b,w,o,p
2442,y,n,f,c,b,b,p,o,p
2443,f,n,f,c,b,b,w,o,p
2444,f,f,f,c,b,b,b,o,l
2445,y,n,f,c,b,b,p,o,p
2446,y,n,f,c,b,b,p,o,p
2447,f,n,f,c,b,b,g,o,p
2448,f,n,f,c,b,b,w,o,p
2449,f,n,f,c,b,b,w,o,p
2450,f,n,f,c,b,b,w,o,p
2451,f,n,f,c,b,b,w,o,p
2452,y,n,f,c,b,b,p,o,p
2453,f,n,f,w,b,e,w,o,e
2454,y,n,f,c,b,b,w,o,p
2455,f,n,f,c,b,b,p,o,p
2456,f,n,f,c,b,b,p,o,p
2457,y,n,f,c,b,b,w,o,p
2458,f,n,f,c,b,b,w,o,p
2459,f,n,f,c,b,b,g,o,p
2460,y,n,f,c,b,b,p,o,p
2461,f,n,f,c,b,b,p,o,p
2462,f,n,f,c,b,b,w,o,p
2463,y,n,f,c,b,b,w,o,p
2464,y,n,f,c,b,b,p,o,p
2465,f,n,f,c,b,b,w,o,p
2466,f,n,f,c,b,b,g,o,p
2467,f,n,f,c,b,b,p,o,p
2468,y,n,f,c,b,b,w,o,p
2469,f,n,f,c,b,b,p,o,p
2470,y,n,f,c,b,b,p,o,p
2471,f,n,f,c,b,b,g,o,p
2472,f,n,f,c,b,b,g,o,p
2473,f,n,f,c,b,b,g,o,p
2474,y,n,f,c,b,b,w,o,p
2475,y,n,f,c,b,b,p,o,p
2476,y,n,f,c,b,b,p,o,p
2477,y,n,f,c,b,b,g,o,p
2478,y,n,f,c,b,b,g,o,p
2479,y,p,f,c,n,e,w,o,p
2480,s,n,f,w,b,e,w,o,e
2481,f,n,f,c,b,b,p,o,p
2482,f,n,f,c,b,b,g,o,p
2483,s,c,f,w,n,b,w,o,p
2484,y,n,f,c,b,b,p,o,p
2485,f,n,f,c,b,b,g,o,p
2486,y,n,f,c,b,b,w,o,p
2487,y,n,f,c,b,b,g,o,p
2488,s,n,f,w,b,e,w,o,e
2489,f,n,f,c,b,b,p,o,p
2490,y,n,f,c,b,b,p,o,p
2491,y,n,f,c,b,b,p,o,p
2492,f,n,f,c,b,b,w,o,p
2493,y,n,f,c,b,b,w,o,p
2494,y,n,f,c,b,b,p,o,p
2495,f,n,f,c,b,b,p,o,p
2496,y,p,f,c,n,e,w,o,p
2497,f,n,f,c,b,b,w,o,p
2498,f,n,f,c,b,b,w,o,p
2499,f,n,f,c,b,b,p,o,p
2500,y,n,f,c,b,b,g,o,p
2501,s,n,f,w,b,e,w,o,e
2502,f,n,f,w,b,e,w,o,e
2503,f,n,f,c,b,b,p,o,p
2504,f,n,f,c,b,b,g,o,p
2505,y,n,f,c,b,b,g,o,p
2506,y,n,f,c,b,b,p,o,p
2507,y,n,f,c,b,b,w,o,p
2508,f,n,f,c,b,b,p,o,p
2509,f,n,f,c,b,b,w,o,p
2510,f,n,f,c,b,b,g,o,p
2511,f,n,f,c,b,b,p,o,p
2512,y,n,f,c,b,b,p,o,p
2513,s,c,f,w,n,b,w,o,p
2514,f,n,f,c,b,b,p,o,p
2515,f,n,f,c,b,b,p,o,p
2516,f,n,f,c,b,b,w,o,p
2517,y,n,f,c,b,b,g,o,p
2518,f,n,f,c,b,b,p,o,p
2519,s,n,f,w,b,e,w,o,e
2520,y,n,f,c,b,b,p,o,p
2521,f,n,f,c,b,b,p,o,p
2522,f,n,f,c,b,b,g,o,p
2523,f,n,f,c,b,b,g,o,p
2524,y,n,f,c,b,b,w,o,p
2525,y,n,f,c,b,b,p,o,p
2526,y,n,f,c,b,b,w,o,p
2527,f,n,f,c,b,b,w,o,p
2528,y,n,f,c,b,b,w,o,p
2529,y,n,f,c,b,b,p,o,p
2530,f,n,f,c,b,b,w,o,p
2531,y,n,f,c,b,b,p,o,p
2532,y,n,f,c,b,b,p,o,p
2533,y,n,f,c,b,b,p,o,p
2534,f,f,f,c,b,b,b,o,l
2535,f,n,f,c,b,b,p,o,p
2536,y,n,f,c,b,b,g,o,p
2537,f,f,f,c,b,b,b,o,l
2538,y,n,f,c,b,b,w,o,p
2539,f,n,f,c,b,b,g,o,p
2540,f,f,f,c,b,b,n,o,l
2541,f,c,f,w,n,b,w,o,p
2542,f,n,f,c,b,b,w,o,p
2543,f,n,f,c,b,b,g,o,p
2544,f,n,f,c,b,b,p,o,p
2545,y,n,f,c,b,b,p,o,p
2546,y,n,f,c,b,b,g,o,p
2547,f,n,f,c,b,b,g,o,p
2548,f,n,f,c,b,b,p,o,p
2549,f,n,f,c,b,b,p,o,p
2550,f,n,f,c,b,b,w,o,p
2551,y,n,f,c,b,b,g,o,p
2552,f,n,f,c,b,b,g,o,p
2553,f,n,f,c,b,b,w,o,p
2554,f,n,f,c,b,b,g,o,p
2555,f,n,f,c,b,b,g,o,p
2556,y,n,f,c,b,b,p,o,p
2557,y,n,f,c,b,b,g,o,p
2558,f,n,f,c,b,b,g,o,p
2559,y,n,f,c,b,b,w,o,p
2560,y,n,f,c,b,b,g,o,p
2561,f,c,f,c,n,b,w,o,p
2562,f,n,f,c,b,b,p,o,p
2563,y,n,f,c,b,b,w,o,p
2564,y,n,f,c,b,b,g,o,p
2565,f,n,f,c,b,b,p,o,p
2566,f,n,f,c,b,b,p,o,p
2567,f,f,f,c,b,b,p,o,l
2568,y,n,f,c,b,b,p,o,p
2569,f,n,f,c,b,b,g,o,p
2570,y,n,f,c,b,b,w,o,p
2571,f,n,f,c,b,b,p,o,p
2572,f,f,f,c,b,b,p,o,l
2573,y,n,f,c,b,b,g,o,p
2574,y,n,f,c,b,b,p,o,p
2575,y,n,f,c,b,b,w,o,p
2576,y,n,f,c,b,b,w,o,p
2577,y,n,f,c,b,b,g,o,p
2578,y,n,f,c,b,b,g,o,p
2579,f,n,f,c,b,b,g,o,p
2580,y,n,f,c,b,b,p,o,p
2581,y,n,f,c,b,b,w,o,p
2582,y,n,f,c,b,b,g,o,p
2583,f,n,f,c,b,b,g,o,p
2584,f,n,f,c,b,b,p,o,p
2585,f,n,f,c,b,b,g,o,p
2586,y,n,f,c,b,b,p,o,p
2587,y,n,f,c,b,b,g,o,p
2588,f,n,f,c,b,b,g,o,p
2589,f,n,f,c,b,b,g,o,p
2590,f,n,f,c,b,b,g,o,p
2591,y,n,f,c,b,b,p,o,p
2592,y,n,f,c,b,b,w,o,p
2593,f,n,f,c,b,b,w,o,p
2594,f,n,f,c,b,b,p,o,p
2595,f,f,f,c,b,b,n,o,l
2596,f,n,f,c,b,b,w,o,p
2597,y,n,f,c,b,b,g,o,p
2598,f,n,f,c,b,b,g,o,p
2599,f,n,f,c,b,b,p,o,p
2600,y,n,f,c,b,b,w,o,p
2601,f,n,f,c,b,b,w,o,p
2602,f,n,f,c,b,b,g,o,p
2603,y,n,f,c,b,b,g,o,p
2604,f,n,f,c,b,b,w,o,p
2605,f,n,f,c,b,b,w,o,p
2606,f,f,f,c,b,b,n,o,l
2607,f,n,f,c,b,b,w,o,p
2608,f,n,f,c,b,b,g,o,p
2609,f,n,f,c,b,b,p,o,p
2610,f,n,f,c,b,b,g,o,p
2611,y,n,f,c,b,b,p,o,p
2612,y,n,f,c,b,b,w,o,p
2613,f,n,f,c,b,b,g,o,p
2614,f,n,f,c,b,b,g,o,p
2615,f,n,f,c,b,b,g,o,p
2616,y,n,f,c,b,b,p,o,p
2617,y,n,f,c,b,b,w,o,p
2618,y,n,f,c,b,b,w,o,p
2619,f,n,f,c,b,b,w,o,p
2620,y,n,f,c,b,b,g,o,p
2621,f,n,f,c,b,b,g,o,p
2622,y,n,f,c,b,b,p,o,p
2623,f,n,f,c,b,b,g,o,p
2624,f,n,f,c,b,b,g,o,p
2625,y,n,f,c,b,b,g,o,p
2626,f,n,f,c,b,b,g,o,p
2627,y,n,f,c,b,b,w,o,p
2628,f,c,f,c,n,b,w,o,p
2629,f,n,f,c,b,b,p,o,p
2630,f,n,f,c,b,b,g,o,p
2631,s,n,f,w,b,e,w,o,e
2632,f,n,f,c,b,b,w,o,p
2633,y,n,f,c,b,b,w,o,p
2634,y,n,f,c,b,b,g,o,p
2635,y,n,f,c,b,b,w,o,p
2636,y,n,f,c,b,b,g,o,p
2637,y,n,f,c,b,b,g,o,p
2638,f,n,f,c,b,b,g,o,p
2639,f,n,f,c,b,b,g,o,p
2640,y,n,f,c,b,b,g,o,p
2641,f,n,f,c,b,b,g,o,p
2642,y,n,f,c,b,b,w,o,p
2643,y,n,f,c,b,b,w,o,p
2644,y,n,f,c,b,b,g,o,p
2645,y,n,f,c,b,b,p,o,p
2646,f,n,f,c,b,b,w,o,p
2647,f,n,f,c,b,b,p,o,p
2648,f,n,f,w,b,e,w,o,e
2649,y,n,f,c,b,b,g,o,p
2650,f,n,f,c,b,b,g,o,p
2651,y,n,f,c,b,b,g,o,p
2652,f,n,f,c,b,b,g,o,p
2653,y,n,f,c,b,b,g,o,p
2654,y,n,f,c,b,b,w,o,p
2655,y,n,f,c,b,b,g,o,p
2656,f,n,f,c,b,b,w,o,p
2657,y,n,f,c,b,b,w,o,p
2658,y,n,f,c,b,b,g,o,p
2659,y,n,f,c,b,b,w,o,p
2660,f,n,f,c,b,b,w,o,p
2661,f,n,f,c,b,b,w,o,p
2662,f,n,f,c,b,b,g,o,p
2663,f,n,f,c,b,b,p,o,p
2664,f,n,f,c,b,b,p,o,p
2665,f,n,f,c,b,b,w,o,p
2666,y,n,f,c,b,b,g,o,p
2667,y,n,f,c,b,b,g,o,p
2668,f,n,f,c,b,b,g,o,p
2669,f,n,f,c,b,b,g,o,p
