id,cap-color,odor,gill-attachment,stalk-root,stalk-surface-above-ring,veil-color,ring-number
870,y,l,f,c,s,w,o
871,n,a,f,r,s,w,o
872,y,l,f,c,s,w,o
873,y,a,f,c,s,w,o
874,n,n,f,b,s,w,o
875,w,a,f,c,s,w,o
876,y,l,f,r,s,w,o
877,w,a,f,c,s,w,o
878,w,l,f,c,s,w,o
879,y,l,f,r,s,w,o
880,y,l,f,c,s,w,o
881,w,a,f,b,s,w,o
882,g,n,f,e,s,w,o
883,w,a,f,c,s,w,o
884,w,l,f,c,s,w,o
885,y,l,f,r,s,w,o
886,w,a,f,b,s,w,o
887,y,a,f,c,s,w,o
888,y,a,f,r,s,w,o
889,y,a,f,r,s,w,o
890,y,l,f,c,s,w,o
891,n,n,f,b,s,w,o
892,y,l,f,r,s,w,o
893,w,a,f,c,s,w,o
894,y,a,f,c,s,w,o
895,y,l,f,c,s,w,o
896,n,l,f,r,s,w,o
897,y,a,f,c,s,w,o
898,w,l,f,c,s,w,o
899,w,l,f,c,s,w,o
900,y,l,f,c,s,w,o
901,y,l,f,r,s,w,o
902,w,n,f,e,f,w,o
903,n,n,f,e,f,w,o
904,w,n,f,e,f,w,o
905,y,l,f,c,s,w,o
906,w,n,f,e,f,w,o
907,n,p,f,e,s,w,o
908,g,n,f,e,f,w,o
909,n,p,f,e,s,w,o
910,n,p,f,e,s,w,o
911,w,l,f,c,s,w,o
912,g,n,f,e,f,w,o
913,w,l,f,c,s,w,o
914,g,n,f,e,s,w,o
915,g,n,f,e,s,w,o
916,w,a,f,c,s,w,o
917,w,l,f,c,s,w,o
918,g,n,f,b,s,w,o
919,n,n,f,e,f,w,o
920,w,n,f,e,s,w,o
921,n,n,f,e,f,w,o
922,n,n,f,e,f,w,o
923,y,l,f,c,s,w,o
924,y,l,f,b,s,w,o
925,w,n,f,e,f,w,o
926,n,n,f,e,f,w,o
927,g,n,f,e,f,w,o
928,n,p,f,e,s,w,o
929,g,n,f,e,s,w,o
930,w,a,f,c,s,w,o
931,g,n,f,e,s,w,o
932,g,n,f,e,s,w,o
933,n,p,f,e,s,w,o
934,y,l,f,c,s,w,o
935,n,n,f,e,s,w,o
936,w,n,f,e,s,w,o
937,y,a,f,c,s,w,o
938,n,n,f,e,s,w,o
939,g,n,f,e,f,w,o
940,e,n,f,b,s,w,o
941,y,a,f,c,s,w,o
942,w,n,f,e,f,w,o
943,w,p,f,e,s,w,o
944,g,n,f,e,s,w,o
945,g,n,f,b,s,w,o
946,n,n,f,e,f,w,o
947,w,n,f,e,f,w,o
948,w,l,f,c,s,w,o
949,n,n,f,e,f,w,o
950,n,p,f,e,s,w,o
951,w,p,f,e,s,w,o
952,y,l,f,c,s,w,o
953,g,n,f,e,s,w,o
954,g,n,f,e,s,w,o
955,n,n,f,e,f,w,o
956,w,l,f,c,s,w,o
957,w,p,f,e,s,w,o
958,n,n,f,b,s,w,o
959,w,l,f,b,s,w,o
960,y,l,f,c,s,w,o
961,n,n,f,e,f,w,o
962,w,n,f,e,f,w,o
963,n,n,f,b,s,w,o
964,n,n,f,b,s,w,o
965,g,n,f,e,f,w,o
966,g,n,f,e,s,w,o
967,n,p,f,e,s,w,o
968,n,n,f,b,s,w,o
969,n,n,f,e,f,w,o
970,w,n,f,e,s,w,o
971,n,n,f,e,f,w,o
972,n,n,f,b,s,w,o
973,n,n,f,b,s,w,o
974,g,n,f,e,s,w,o
975,n,n,f,b,s,w,o
976,g,n,f,e,f,w,o
977,w,l,f,c,s,w,o
978,n,n,f,b,s,w,o
979,y,l,f,c,s,w,o
980,g,n,f,e,f,w,o
981,n,n,f,b,s,w,o
982,y,l,f,c,s,w,o
983,g,n,f,e,s,w,o
984,n,n,f,e,s,w,o
985,w,p,f,e,s,w,o
986,w,n,f,e,f,w,o
987,w,n,f,e,f,w,o
988,w,n,f,e,s,w,o
989,g,n,f,e,s,w,o
990,y,l,f,c,s,w,o
991,y,l,f,c,s,w,o
992,g,n,f,e,s,w,o
993,n,n,f,e,f,w,o
994,n,n,f,e,s,w,o
995,w,n,f,e,s,w,o
996,w,n,f,e,f,w,o
997,y,l,f,c,s,w,o
998,w,a,f,b,s,w,o
999,w,l,f,c,s,w,o
1000,w,p,f,e,s,w,o
1001,g,n,f,b,s,w,o
1002,n,l,f,r,s,w,o
1003,n,n,f,e,s,w,o
1004,w,p,f,e,s,w,o
1005,n,l,f,r,s,w,o
1006,g,n,f,e,s,w,o
1007,w,n,f,e,f,w,o
1008,w,n,f,e,f,w,o
1009,n,n,f,e,s,w,o
1010,w,l,f,c,s,w,o
1011,w,a,f,c,s,w,o
1012,w,n,f,e,s,w,o
1013,y,a,f,r,s,w,o
1014,n,n,f,e,s,w,o
1015,g,n,f,e,f,w,o
1016,y,a,f,b,s,w,o
1017,n,l,f,r,s,w,o
1018,n,n,f,b,s,w,o
1019,n,p,f,e,s,w,o
1020,n,n,f,b,s,w,o
1021,n,n,f,e,f,w,o
1022,y,a,f,c,s,w,o
1023,w,a,f,c,s,w,o
1024,w,a,f,c,s,w,o
1025,w,p,f,e,s,w,o
1026,w,p,f,e,s,w,o
1027,n,n,f,e,s,w,o
1028,y,l,f,b,s,w,o
1029,y,l,f,c,s,w,o
1030,w,n,f,e,s,w,o
1031,g,n,f,b,s,w,o
1032,n,p,f,e,s,w,o
1033,g,n,f,e,s,w,o
1034,n,n,f,e,s,w,o
1035,w,n,f,e,s,w,o
1036,w,n,f,e,f,w,o
1037,y,a,f,c,s,w,o
1038,y,a,f,b,s,w,o
1039,g,n,f,e,s,w,o
1040,n,p,f,e,s,w,o
1041,y,a,f,r,s,w,o
1042,n,a,f,r,s,w,o
1043,w,n,f,e,s,w,o
1044,n,n,f,b,s,w,o
1045,g,n,f,e,f,w,o
1046,w,a,f,c,s,w,o
1047,g,n,f,e,s,w,o
1048,n,p,f,e,s,w,o
1049,n,n,f,b,s,w,o
1050,g,n,f,e,f,w,o
1051,e,n,f,b,s,w,o
1052,n,n,f,b,s,w,o
1053,g,n,f,e,s,w,o
1054,y,l,f,r,s,w,o
1055,n,n,f,e,f,w,o
1056,y,l,f,c,s,w,o
1057,w,l,f,b,s,w,o
1058,g,n,f,e,s,w,o
1059,y,l,f,c,s,w,o
1060,n,n,f,e,s,w,o
1061,w,n,f,e,s,w,o
1062,y,l,f,b,s,w,o
1063,g,n,f,e,f,w,o
1064,g,n,f,e,f,w,o
1065,w,p,f,e,s,w,o
1066,y,l,f,b,s,w,o
1067,w,a,f,c,s,w,o
1068,w,n,f,e,f,w,o
1069,n,n,f,b,s,w,o
1070,n,l,f,r,s,w,o
1071,w,n,f,e,s,w,o
1072,w,p,f,e,s,w,o
1073,y,a,f,c,s,w,o
1074,g,n,f,b,s,w,o
1075,y,l,f,r,s,w,o
1076,g,n,f,e,f,w,o
1077,n,n,f,e,s,w,o
1078,w,p,f,e,s,w,o
1079,g,n,f,e,f,w,o
1080,n,l,f,r,s,w,o
1081,w,n,f,e,s,w,o
1082,n,p,f,e,s,w,o
1083,y,l,f,c,s,w,o
1084,g,n,f,e,f,w,o
1085,w,l,f,c,s,w,o
1086,g,n,f,e,s,w,o
1087,w,l,f,c,s,w,o
1088,w,l,f,c,s,w,o
1089,n,p,f,e,s,w,o
1090,y,l,f,c,s,w,o
1091,n,n,f,e,s,w,o
1092,n,a,f,r,s,w,o
1093,g,n,f,e,s,w,o
1094,y,l,f,b,s,w,o
1095,g,n,f,e,f,w,o
1096,n,p,f,e,s,w,o
1097,g,n,f,e,s,w,o
1098,g,n,f,e,f,w,o
1099,g,n,f,e,f,w,o
1100,n,p,f,e,s,w,o
1101,n,n,f,e,f,w,o
1102,w,n,f,e,f,w,o
1103,g,n,f,e,s,w,o
1104,n,p,f,e,s,w,o
1105,n,n,f,e,s,w,o
1106,w,n,f,e,f,w,o
1107,w,p,f,e,s,w,o
1108,g,n,f,e,s,w,o
1109,y,l,f,c,s,w,o
1110,n,n,f,e,f,w,o
1111,n,n,f,e,f,w,o
1112,w,p,f,e,s,w,o
1113,n,a,f,r,s,w,o
1114,w,n,f,e,f,w,o
1115,n,l,f,r,s,w,o
1116,g,n,f,e,s,w,o
1117,g,n,f,e,f,w,o
1118,g,n,f,e,f,w,o
1119,n,n,f,e,f,w,o
1120,g,n,f,e,s,w,o
1121,w,n,f,e,f,w,o
1122,w,n,f,e,s,w,o
1123,n,n,f,e,f,w,o
1124,n,n,f,b,s,w,o
1125,y,a,f,b,s,w,o
1126,w,n,f,e,s,w,o
1127,w,n,f,e,s,w,o
1128,y,a,f,c,s,w,o
1129,w,n,f,e,s,w,o
1130,g,n,f,e,s,w,o
1131,n,p,f,e,s,w,o
1132,g,n,f,e,f,w,o
1133,n,p,f,e,s,w,o
1134,w,n,f,e,f,w,o
1135,w,a,f,c,s,w,o
1136,n,n,f,e,s,w,o
1137,n,n,f,b,s,w,o
1138,y,l,f,c,s,w,o
1139,w,n,f,e,s,w,o
1140,n,n,f,e,f,w,o
1141,w,n,f,e,s,w,o
1142,n,n,f,b,s,w,o
1143,w,n,f,e,s,w,o
1144,w,n,f,e,s,w,o
1145,n,n,f,e,f,w,o
1146,w,n,f,e,f,w,o
1147,g,n,f,e,f,w,o
1148,g,n,f,e,s,w,o
1149,g,n,f,e,f,w,o
1150,n,n,f,e,f,w,o
1151,w,n,f,e,f,w,o
1152,n,a,f,r,s,w,o
1153,w,p,f,e,s,w,o
1154,g,n,f,e,f,w,o
1155,w,p,f,e,s,w,o
1156,w,a,f,c,s,w,o
1157,g,n,f,e,s,w,o
1158,g,n,f,e,s,w,o
1159,w,n,f,e,s,w,o
1160,g,n,f,e,f,w,o
1161,w,a,f,c,s,w,o
1162,g,n,f,e,f,w,o
1163,e,n,f,b,s,w,o
1164,y,a,f,r,s,w,o
1165,w,n,f,e,f,w,o
1166,w,a,f,c,s,w,o
1167,n,p,f,e,s,w,o
1168,n,n,f,b,s,w,o
1169,n,n,f,e,s,w,o
1170,w,a,f,c,s,w,o
1171,g,n,f,e,f,w,o
1172,n,n,f,b,s,w,o
1173,w,n,f,e,f,w,o
1174,n,n,f,e,s,w,o
1175,g,n,f,e,s,w,o
1176,g,n,f,e,s,w,o
1177,y,l,f,c,s,w,o
1178,n,n,f,e,s,w,o
1179,w,n,f,e,s,w,o
1180,n,a,f,r,s,w,o
1181,n,l,f,r,s,w,o
1182,y,l,f,r,s,w,o
1183,g,n,f,e,f,w,o
1184,w,a,f,c,s,w,o
1185,w,a,f,c,s,w,o
1186,w,n,f,e,f,w,o
1187,g,n,f,e,s,w,o
1188,n,p,f,e,s,w,o
1189,y,l,f,c,s,w,o
1190,n,n,f,e,s,w,o
1191,w,n,f,e,f,w,o
1192,y,l,f,c,s,w,o
1193,e,n,f,b,s,w,o
1194,n,l,f,r,s,w,o
1195,w,a,f,c,s,w,o
1196,n,p,f,e,s,w,o
1197,g,n,f,e,f,w,o
1198,w,a,f,c,s,w,o
1199,w,l,f,c,s,w,o
1200,y,l,f,c,s,w,o
1201,w,l,f,c,s,w,o
1202,y,a,f,c,s,w,o
1203,w,a,f,c,s,w,o
1204,n,n,f,e,s,w,o
1205,w,p,f,e,s,w,o
1206,n,n,f,e,s,w,o
1207,n,n,f,e,s,w,o
1208,w,p,f,e,s,w,o
1209,w,n,f,e,f,w,o
1210,w,n,f,e,s,w,o
1211,n,n,f,e,s,w,o
1212,n,n,f,e,s,w,o
1213,y,a,f,r,s,w,o
1214,g,n,f,e,f,w,o
1215,n,n,f,e,s,w,o
1216,n,p,f,e,s,w,o
1217,w,n,f,e,f,w,o
1218,n,n,f,e,f,w,o
1219,w,n,f,e,f,w,o
1220,w,n,f,e,f,w,o
1221,y,a,f,r,s,w,o
1222,g,n,f,e,f,w,o
1223,g,n,f,e,f,w,o
1224,n,n,f,e,f,w,o
1225,n,n,f,e,f,w,o
1226,w,n,f,e,s,w,o
1227,e,n,f,b,s,w,o
1228,n,n,f,e,s,w,o
1229,w,p,f,e,s,w,o
1230,n,n,f,b,s,w,o
1231,n,n,f,e,s,w,o
1232,w,p,f,e,s,w,o
1233,g,n,f,e,f,w,o
1234,w,n,f,e,f,w,o
1235,n,n,f,e,s,w,o
1236,g,n,f,e,s,w,o
1237,g,n,f,e,f,w,o
1238,g,n,f,e,s,w,o
1239,g,n,f,e,s,w,o
1240,n,n,f,e,s,w,o
1241,w,p,f,e,s,w,o
1242,g,n,f,e,f,w,o
1243,w,p,f,e,s,w,o
1244,w,p,f,e,s,w,o
1245,n,n,f,e,s,w,o
1246,g,n,f,e,s,w,o
1247,g,n,f,e,s,w,o
1248,g,n,f,e,s,w,o
1249,g,n,f,e,f,w,o
1250,g,n,f,e,f,w,o
1251,g,n,f,b,s,w,o
1252,n,n,f,b,s,w,o
1253,w,n,f,e,s,w,o
1254,w,p,f,e,s,w,o
1255,n,p,f,e,s,w,o
1256,w,n,f,e,f,w,o
1257,n,p,f,e,s,w,o
1258,n,n,f,e,s,w,o
1259,w,n,f,e,f,w,o
1260,n,p,f,e,s,w,o
1261,w,p,f,e,s,w,o
1262,n,p,f,e,s,w,o
1263,w,p,f,e,s,w,o
1264,w,n,f,e,f,w,o
1265,n,n,f,b,s,w,o
1266,w,n,f,e,f,w,o
1267,g,n,f,e,f,w,o
1268,n,p,f,e,s,w,o
1269,w,n,f,e,f,w,o
1270,e,n,f,b,s,w,o
1271,g,n,f,e,f,w,o
1272,w,n,f,e,f,w,o
1273,w,p,f,e,s,w,o
1274,n,n,f,e,f,w,o
1275,w,n,f,e,s,w,o
1276,w,p,f,e,s,w,o
1277,n,n,f,e,s,w,o
1278,w,n,f,e,s,w,o
1279,w,n,f,e,s,w,o
1280,w,n,f,e,f,w,o
1281,y,a,f,c,s,w,o
1282,g,n,f,e,s,w,o
1283,w,n,f,e,s,w,o
1284,n,n,f,e,f,w,o
1285,n,n,f,e,f,w,o
1286,g,n,f,e,f,w,o
1287,n,p,f,e,s,w,o
1288,g,n,f,e,f,w,o
1289,n,n,f,b,s,w,o
1290,w,n,f,e,s,w,o
1291,n,n,f,b,s,w,o
1292,g,n,f,e,f,w,o
1293,w,n,f,e,s,w,o
1294,w,p,f,e,s,w,o
1295,w,p,f,e,s,w,o
1296,g,n,f,e,f,w,o
1297,n,n,f,b,s,w,o
1298,g,n,f,e,s,w,o
1299,y,a,f,r,s,w,o
1300,w,n,f,e,s,w,o
1301,w,n,f,e,s,w,o
1302,g,n,f,e,f,w,o
1303,w,n,f,e,s,w,o
1304,n,n,f,b,s,w,o
1305,g,n,f,e,s,w,o
1306,g,n,f,e,s,w,o
1307,n,n,f,e,f,w,o
1308,w,n,f,e,s,w,o
1309,w,n,f,e,s,w,o
1310,g,n,f,e,s,w,o
1311,w,n,f,e,f,w,o
1312,n,n,f,e,s,w,o
1313,w,p,f,e,s,w,o
1314,g,n,f,e,f,w,o
1315,y,l,f,c,s,w,o
1316,n,n,f,e,f,w,o
1317,g,n,f,e,s,w,o
1318,n,n,f,b,s,w,o
1319,y,l,f,c,s,w,o
1320,w,n,f,e,s,w,o
1321,n,n,f,b,s,w,o
1322,w,p,f,e,s,w,o
1323,w,n,f,e,f,w,o
1324,w,p,f,e,s,w,o
1325,n,n,f,e,f,w,o
1326,n,n,f,e,s,w,o
1327,y,l,f,c,s,w,o
1328,g,n,f,e,f,w,o
1329,g,n,f,e,s,w,o
1330,g,n,f,e,f,w,o
1331,g,n,f,e,s,w,o
1332,w,n,f,e,s,w,o
1333,n,p,f,e,s,w,o
1334,g,n,f,e,s,w,o
1335,w,n,f,e,s,w,o
1336,n,n,f,b,s,w,o
1337,n,n,f,e,s,w,o
1338,e,n,f,b,s,w,o
1339,y,a,f,c,s,w,o
1340,w,n,f,e,f,w,o
1341,w,n,f,e,s,w,o
1342,n,n,f,e,f,w,o
1343,w,p,f,e,s,w,o
1344,g,n,f,b,s,w,o
1345,w,n,f,e,s,w,o
1346,w,n,f,e,s,w,o
1347,n,p,f,e,s,w,o
1348,w,n,f,e,f,w,o
1349,n,n,f,b,s,w,o
1350,g,n,f,b,s,w,o
1351,g,n,f,b,s,w,o
1352,n,n,f,e,f,w,o
1353,w,n,f,e,f,w,o
1354,n,n,f,e,s,w,o
1355,n,n,f,e,f,w,o
1356,w,n,f,e,f,w,o
1357,n,n,f,e,f,w,o
1358,w,n,f,e,s,w,o
1359,n,n,f,e,f,w,o
1360,w,n,f,e,f,w,o
1361,n,n,f,e,f,w,o
1362,n,p,f,e,s,w,o
1363,w,n,f,e,s,w,o
1364,w,n,f,e,s,w,o
1365,n,n,f,e,s,w,o
1366,w,n,f,e,f,w,o
1367,g,n,f,e,s,w,o
1368,n,n,f,e,s,w,o
1369,g,n,f,b,s,w,o
1370,w,n,f,e,f,w,o
1371,n,n,f,e,f,w,o
1372,n,n,f,e,s,w,o
1373,w,n,f,e,s,w,o
1374,y,l,f,c,s,w,o
1375,n,p,f,e,s,w,o
1376,n,p,f,e,s,w,o
1377,w,n,f,e,s,w,o
1378,n,n,f,e,s,w,o
1379,n,p,f,e,s,w,o
1380,n,n,f,e,s,w,o
1381,w,p,f,e,s,w,o
1382,n,n,f,e,s,w,o
1383,w,p,f,e,s,w,o
1384,n,n,f,e,f,w,o
1385,g,n,f,e,f,w,o
1386,g,n,f,e,s,w,o
1387,n,n,f,e,s,w,o
1388,g,n,f,b,s,w,o
1389,n,n,f,b,s,w,o
1390,n,n,f,e,s,w,o
1391,g,n,f,b,s,w,o
1392,w,n,f,e,s,w,o
1393,w,n,f,e,f,w,o
1394,w,n,f,e,f,w,o
1395,g,n,f,e,s,w,o
1396,n,n,f,b,s,w,o
1397,w,n,f,e,s,w,o
1398,n,n,f,e,f,w,o
1399,g,n,f,e,s,w,o
1400,w,p,f,e,s,w,o
1401,n,n,f,e,s,w,o
1402,y,a,f,r,s,w,o
1403,g,n,f,b,s,w,o
1404,g,n,f,e,s,w,o
1405,g,n,f,e,f,w,o
1406,w,p,f,e,s,w,o
1407,w,n,f,e,f,w,o
1408,w,n,f,e,s,w,o
1409,g,n,f,e,s,w,o
1410,n,n,f,e,s,w,o
1411,n,n,f,e,f,w,o
1412,n,n,f,e,s,w,o
1413,n,n,f,e,f,w,o
1414,w,n,f,e,s,w,o
1415,w,n,f,e,f,w,o
1416,n,n,f,e,s,w,o
1417,w,l,f,c,s,w,o
1418,n,n,f,e,f,w,o
1419,g,n,f,e,f,w,o
1420,w,n,f,e,f,w,o
1421,w,p,f,e,s,w,o
1422,w,n,f,e,s,w,o
1423,n,n,f,b,s,w,o
1424,g,n,f,e,s,w,o
1425,g,n,f,e,s,w,o
1426,n,n,f,e,s,w,o
1427,n,n,f,e,s,w,o
1428,g,n,f,e,f,w,o
1429,n,l,f,r,s,w,o
1430,n,p,f,e,s,w,o
1431,n,n,f,e,s,w,o
1432,n,n,f,b,s,w,o
1433,w,p,f,e,s,w,o
1434,w,p,f,e,s,w,o
1435,n,p,f,e,s,w,o
1436,n,n,f,b,s,w,o
1437,w,l,f,c,s,w,o
1438,w,p,f,e,s,w,o
1439,w,n,f,e,s,w,o
1440,w,n,f,e,f,w,o
1441,n,n,f,b,s,w,o
1442,n,n,f,e,f,w,o
1443,n,n,f,e,s,w,o
1444,n,n,f,e,f,w,o
1445,n,p,f,e,s,w,o
1446,w,p,f,e,s,w,o
1447,n,n,f,e,s,w,o
1448,g,n,f,e,f,w,o
1449,n,n,f,b,s,w,o
1450,g,n,f,e,f,w,o
1451,n,n,f,e,f,w,o
1452,n,p,f,e,s,w,o
1453,n,n,f,e,f,w,o
1454,n,p,f,e,s,w,o
1455,g,n,f,e,f,w,o
1456,w,n,f,e,f,w,o
1457,w,n,f,e,s,w,o
1458,n,n,f,b,s,w,o
1459,n,n,f,e,f,w,o
1460,w,p,f,e,s,w,o
1461,n,n,f,b,s,w,o
1462,w,n,f,e,f,w,o
1463,w,n,f,e,f,w,o
1464,w,a,f,b,s,w,o
1465,n,n,f,e,f,w,o
1466,g,n,f,b,s,w,o
1467,n,n,f,b,s,w,o
1468,y,a,f,b,s,w,o
1469,g,n,f,e,s,w,o
1470,n,n,f,e,s,w,o
1471,e,n,f,b,s,w,o
1472,g,n,f,e,f,w,o
1473,w,p,f,e,s,w,o
1474,w,n,f,e,s,w,o
1475,g,n,f,e,s,w,o
1476,n,n,f,e,s,w,o
1477,n,n,f,e,f,w,o
1478,w,n,f,e,f,w,o
1479,w,p,f,e,s,w,o
1480,w,n,f,e,f,w,o
1481,n,n,f,e,f,w,o
1482,n,n,f,e,f,w,o
1483,g,n,f,e,s,w,o
1484,n,n,f,e,s,w,o
1485,y,l,f,r,s,w,o
1486,n,p,f,e,s,w,o
1487,w,n,f,e,s,w,o
1488,w,n,f,e,f,w,o
1489,n,n,f,e,s,w,o
1490,n,p,f,e,s,w,o
1491,g,n,f,e,f,w,o
1492,w,p,f,e,s,w,o
1493,n,n,f,e,f,w,o
1494,g,n,f,e,f,w,o
1495,g,n,f,e,s,w,o
1496,n,n,f,e,s,w,o
1497,g,n,f,e,s,w,o
1498,w,n,f,e,s,w,o
1499,n,n,f,e,s,w,o
1500,g,n,f,e,s,w,o
1501,n,n,f,e,s,w,o
1502,y,a,f,c,s,w,o
1503,g,n,f,e,s,w,o
1504,g,n,f,e,s,w,o
1505,w,n,f,e,f,w,o
1506,n,n,f,b,s,w,o
1507,n,p,f,e,s,w,o
1508,n,n,f,b,s,w,o
1509,n,n,f,e,f,w,o
1510,n,n,f,b,s,w,o
1511,w,n,f,e,f,w,o
1512,g,n,f,e,s,w,o
1513,n,n,f,e,s,w,o
1514,y,a,f,c,s,w,o
1515,w,a,f,b,s,w,o
1516,g,n,f,e,f,w,o
1517,n,n,f,e,s,w,o
1518,n,n,f,e,s,w,o
1519,y,a,f,c,s,w,o
1520,n,n,f,e,f,w,o
1521,w,l,f,c,s,w,o
1522,w,n,f,e,s,w,o
1523,w,n,f,e,s,w,o
1524,n,n,f,e,f,w,o
1525,n,n,f,e,s,w,o
1526,n,n,f,e,f,w,o
1527,n,n,f,b,s,w,o
1528,g,n,f,e,f,w,o
1529,y,a,f,c,s,w,o
1530,w,n,f,e,f,w,o
1531,w,p,f,e,s,w,o
1532,w,n,f,e,s,w,o
1533,w,p,f,e,s,w,o
1534,g,n,f,e,s,w,o
1535,g,n,f,e,f,w,o
1536,w,p,f,e,s,w,o
1537,g,n,f,e,f,w,o
1538,w,p,f,e,s,w,o
1539,g,n,f,e,f,w,o
1540,w,n,f,e,s,w,o
1541,w,p,f,e,s,w,o
1542,w,n,f,e,s,w,o
1543,n,n,f,e,s,w,o
1544,w,n,f,e,f,w,o
1545,w,n,f,e,f,w,o
1546,e,n,f,b,s,w,o
1547,n,p,f,e,s,w,o
1548,g,n,f,e,f,w,o
1549,y,a,f,r,s,w,o
1550,n,n,f,e,s,w,o
1551,n,n,f,e,f,w,o
1552,w,l,f,c,s,w,o
1553,g,n,f,e,s,w,o
1554,w,n,f,e,f,w,o
1555,n,n,f,e,s,w,o
1556,n,p,f,e,s,w,o
1557,n,n,f,e,s,w,o
1558,y,a,f,c,s,w,o
1559,g,n,f,e,s,w,o
1560,n,n,f,e,s,w,o
1561,g,n,f,e,f,w,o
1562,g,n,f,e,s,w,o
1563,n,n,f,e,f,w,o
1564,n,n,f,b,s,w,o
1565,w,l,f,c,s,w,o
1566,g,n,f,b,s,w,o
1567,n,p,f,e,s,w,o
1568,w,n,f,e,s,w,o
1569,n,p,f,e,s,w,o
1570,n,n,f,e,s,w,o
1571,n,n,f,e,s,w,o
1572,w,n,f,e,s,w,o
1573,n,n,f,e,f,w,o
1574,n,n,f,e,f,w,o
1575,y,l,f,c,s,w,o
1576,w,n,f,e,s,w,o
1577,w,n,f,e,f,w,o
1578,n,p,f,e,s,w,o
1579,g,n,f,e,s,w,o
1580,n,p,f,e,s,w,o
1581,w,n,f,e,s,w,o
1582,n,n,f,b,s,w,o
1583,g,n,f,e,s,w,o
1584,n,p,f,e,s,w,o
1585,g,n,f,e,s,w,o
1586,w,p,f,e,s,w,o
1587,n,n,f,b,s,w,o
1588,n,n,f,e,f,w,o
1589,y,a,f,r,s,w,o
1590,w,n,f,e,f,w,o
1591,w,n,f,e,s,w,o
1592,g,n,f,e,f,w,o
1593,g,n,f,e,f,w,o
1594,w,n,f,e,s,w,o
1595,g,n,f,e,f,w,o
1596,g,n,f,e,f,w,o
1597,g,n,f,b,s,w,o
1598,g,n,f,e,f,w,o
1599,g,n,f,e,f,w,o
1600,n,l,f,r,s,w,o
1601,g,n,f,b,s,w,o
1602,g,n,f,e,f,w,o
1603,w,n,f,e,s,w,o
1604,n,n,f,e,f,w,o
1605,w,n,f,e,s,w,o
1606,n,n,f,e,s,w,o
1607,g,n,f,e,s,w,o
1608,n,n,f,e,s,w,o
1609,n,n,f,b,s,w,o
1610,n,n,f,e,f,w,o
1611,n,n,f,e,f,w,o
1612,w,n,f,e,f,w,o
1613,n,n,f,e,s,w,o
1614,w,p,f,e,s,w,o
1615,n,p,f,e,s,w,o
1616,n,n,f,b,s,w,o
1617,w,n,f,e,f,w,o
1618,g,n,f,e,s,w,o
1619,n,n,f,e,s,w,o
1620,n,n,f,e,f,w,o
1621,g,n,f,e,s,w,o
1622,g,n,f,e,f,w,o
1623,n,n,f,e,s,w,o
1624,g,n,f,e,s,w,o
1625,e,n,f,b,s,w,o
1626,w,p,f,e,s,w,o
1627,n,n,f,e,f,w,o
1628,n,n,f,b,s,w,o
1629,n,p,f,e,s,w,o
1630,w,p,f,e,s,w,o
1631,w,p,f,e,s,w,o
1632,w,n,f,e,s,w,o
1633,n,n,f,e,f,w,o
1634,n,n,f,e,f,w,o
1635,n,n,f,e,s,w,o
1636,n,n,f,e,s,w,o
1637,w,p,f,e,s,w,o
1638,w,p,f,e,s,w,o
1639,g,n,f,e,f,w,o
1640,n,n,f,e,f,w,o
1641,n,n,f,e,f,w,o
1642,n,n,f,b,s,w,o
1643,n,n,f,b,s,w,o
1644,w,n,f,e,f,w,o
1645,w,n,f,e,f,w,o
1646,w,n,f,e,f,w,o
1647,y,l,f,c,s,w,o
1648,g,n,f,e,f,w,o
1649,w,n,f,e,s,w,o
1650,n,n,f,e,s,w,o
1651,n,n,f,e,f,w,o
1652,w,n,f,e,s,w,o
1653,n,n,f,e,f,w,o
1654,g,n,f,e,f,w,o
1655,g,n,f,e,s,w,o
1656,w,n,f,e,s,w,o
1657,n,n,f,e,f,w,o
1658,g,n,f,e,s,w,o
1659,w,n,f,e,s,w,o
1660,w,n,f,e,s,w,o
1661,g,n,f,e,f,w,o
1662,g,n,f,e,s,w,o
1663,y,a,f,c,s,w,o
1664,y,l,f,c,s,w,o
1665,w,n,f,e,s,w,o
1666,n,p,f,e,s,w,o
1667,w,n,f,e,s,w,o
1668,w,p,f,e,s,w,o
1669,g,n,f,b,s,w,o
1670,w,p,f,e,s,w,o
1671,y,l,f,c,s,w,o
1672,w,l,f,c,s,w,o
1673,n,l,f,r,s,w,o
1674,w,n,f,e,s,w,o
1675,n,n,f,e,f,w,o
1676,g,n,f,e,s,w,o
1677,w,n,f,e,f,w,o
1678,n,n,f,e,f,w,o
1679,n,n,f,e,s,w,o
1680,g,n,f,e,f,w,o
1681,w,l,f,c,s,w,o
1682,g,n,f,e,s,w,o
1683,y,l,f,c,s,w,o
1684,w,p,f,e,s,w,o
1685,w,n,f,e,f,w,o
1686,n,n,f,e,f,w,o
1687,g,n,f,e,s,w,o
1688,g,n,f,e,f,w,o
1689,n,n,f,b,s,w,o
1690,n,n,f,b,s,w,o
1691,y,a,f,r,s,w,o
1692,g,n,f,b,s,w,o
1693,g,n,f,e,f,w,o
1694,n,n,f,e,f,w,o
1695,w,n,f,e,s,w,o
1696,g,n,f,e,f,w,o
1697,w,n,f,e,f,w,o
