id,odor,gill-attachment,gill-size,stalk-surface-above-ring,population
1150,n,f,b,f,a
1151,n,f,b,f,a
1152,a,f,b,s,y
1153,p,f,n,s,v
1154,n,f,b,f,a
1155,p,f,n,s,v
1156,a,f,b,s,s
1157,n,f,b,s,s
1158,n,f,b,s,a
1159,n,f,b,s,s
1160,n,f,b,f,s
1161,a,f,b,s,n
1162,n,f,b,f,s
1163,n,f,b,s,v
1164,a,f,b,s,s
1165,n,f,b,f,s
1166,a,f,b,s,n
1167,p,f,n,s,v
1168,n,f,b,s,y
1169,n,f,b,s,s
1170,a,f,b,s,n
1171,n,f,b,f,s
1172,n,f,b,s,v
1173,n,f,b,f,a
1174,n,f,n,s,v
1175,n,f,n,s,v
1176,n,f,n,s,y
1177,l,f,b,s,s
1178,n,f,n,s,v
1179,n,f,b,s,a
1180,a,f,b,s,s
1181,l,f,b,s,y
1182,l,f,b,s,y
1183,n,f,b,f,a
1184,a,f,b,s,n
1185,a,f,b,s,s
1186,n,f,b,f,a
1187,n,f,b,s,a
1188,p,f,n,s,v
1189,l,f,b,s,s
1190,n,f,b,s,s
1191,n,f,b,f,s
1192,l,f,b,s,s
1193,n,f,b,s,v
1194,l,f,b,s,s
1195,a,f,b,s,n
1196,p,f,n,s,s
1197,n,f,b,f,s
1198,a,f,b,s,n
1199,l,f,b,s,n
1200,l,f,b,s,s
1201,l,f,b,s,n
1202,a,f,b,s,n
1203,a,f,b,s,n
1204,n,f,b,s,s
1205,p,f,n,s,s
1206,n,f,b,s,a
1207,n,f,b,s,a
1208,p,f,n,s,s
1209,n,f,b,f,a
1210,n,f,b,s,s
1211,n,f,b,s,a
1212,n,f,b,s,a
1213,a,f,b,s,y
1214,n,f,b,f,a
1215,n,f,b,s,a
1216,p,f,n,s,v
1217,n,f,b,f,a
1218,n,f,b,f,s
1219,n,f,b,f,a
1220,n,f,b,f,s
1221,a,f,b,s,s
1222,n,f,b,f,s
1223,n,f,b,f,a
1224,n,f,b,f,s
1225,n,f,b,f,a
1226,n,f,b,s,s
1227,n,f,b,s,v
1228,n,f,b,s,a
1229,p,f,n,s,v
1230,n,f,b,s,y
1231,n,f,b,s,s
1232,p,f,n,s,s
1233,n,f,b,f,a
1234,n,f,b,f,a
1235,n,f,b,s,a
1236,n,f,b,s,a
1237,n,f,b,f,a
1238,n,f,b,s,s
1239,n,f,b,s,s
1240,n,f,b,s,s
1241,p,f,n,s,v
1242,n,f,b,f,a
1243,p,f,n,s,s
1244,p,f,n,s,s
1245,n,f,b,s,s
1246,n,f,b,s,a
1247,n,f,b,s,a
1248,n,f,b,s,a
1249,n,f,b,f,a
1250,n,f,b,f,a
1251,n,f,b,s,y
1252,n,f,b,s,v
1253,n,f,b,s,a
1254,p,f,n,s,v
1255,p,f,n,s,s
1256,n,f,b,f,a
1257,p,f,n,s,s
1258,n,f,b,s,s
1259,n,f,b,f,a
1260,p,f,n,s,v
1261,p,f,n,s,v
1262,p,f,n,s,v
1263,p,f,n,s,s
1264,n,f,b,f,a
1265,n,f,b,s,v
1266,n,f,b,f,a
1267,n,f,b,f,a
1268,p,f,n,s,v
1269,n,f,b,f,s
1270,n,f,b,s,y
1271,n,f,b,f,s
1272,n,f,b,f,s
1273,p,f,n,s,s
1274,n,f,b,f,a
1275,n,f,b,s,s
1276,p,f,n,s,s
1277,n,f,b,s,a
1278,n,f,b,s,s
1279,n,f,b,s,s
1280,n,f,b,f,s
1281,a,f,b,s,n
1282,n,f,b,s,a
1283,n,f,b,s,s
1284,n,f,b,f,s
1285,n,f,b,f,a
1286,n,f,b,f,a
1287,p,f,n,s,s
1288,n,f,b,f,s
1289,n,f,b,s,y
1290,n,f,b,s,a
1291,n,f,b,s,v
1292,n,f,b,f,a
1293,n,f,b,s,a
1294,p,f,n,s,v
1295,p,f,n,s,v
1296,n,f,b,f,a
1297,n,f,b,s,v
1298,n,f,b,s,s
1299,a,f,b,s,s
1300,n,f,b,s,a
1301,n,f,b,s,a
1302,n,f,b,f,a
1303,n,f,b,s,s
1304,n,f,b,s,y
1305,n,f,b,s,a
1306,n,f,b,s,s
1307,n,f,b,f,s
1308,n,f,b,s,s
1309,n,f,b,s,a
1310,n,f,b,s,s
1311,n,f,b,f,s
1312,n,f,b,s,a
1313,p,f,n,s,s
1314,n,f,b,f,a
1315,l,f,b,s,n
1316,n,f,b,f,s
1317,n,f,b,s,s
1318,n,f,b,s,y
1319,l,f,b,s,s
1320,n,f,b,s,s
1321,n,f,b,s,y
1322,p,f,n,s,s
1323,n,f,b,f,s
1324,p,f,n,s,s
1325,n,f,b,f,a
1326,n,f,b,s,a
1327,l,f,b,s,n
1328,n,f,b,f,a
1329,n,f,b,s,a
1330,n,f,b,f,s
1331,n,f,b,s,s
1332,n,f,b,s,a
1333,p,f,n,s,v
1334,n,f,b,s,a
1335,n,f,b,s,a
1336,n,f,b,s,y
1337,n,f,b,s,a
1338,n,f,b,s,y
1339,a,f,b,s,n
1340,n,f,b,f,s
1341,n,f,b,s,a
1342,n,f,b,f,a
1343,p,f,n,s,s
1344,n,f,b,s,y
1345,n,f,b,s,s
1346,n,f,b,s,a
1347,p,f,n,s,v
1348,n,f,b,f,s
1349,n,f,b,s,y
1350,n,f,b,s,v
1351,n,f,b,s,v
1352,n,f,b,f,s
1353,n,f,b,f,s
1354,n,f,b,s,a
1355,n,f,b,f,a
1356,n,f,b,f,a
1357,n,f,b,f,s
1358,n,f,b,s,a
1359,n,f,b,f,a
1360,n,f,b,f,s
1361,n,f,b,f,a
1362,p,f,n,s,v
1363,n,f,b,s,a
1364,n,f,b,s,s
1365,n,f,b,s,a
1366,n,f,b,f,s
1367,n,f,b,s,a
1368,n,f,b,s,a
1369,n,f,b,s,v
1370,n,f,b,f,a
1371,n,f,b,f,s
1372,n,f,b,s,s
1373,n,f,b,s,s
1374,l,f,b,s,s
1375,p,f,n,s,s
1376,p,f,n,s,v
1377,n,f,b,s,s
1378,n,f,b,s,s
1379,p,f,n,s,s
1380,n,f,b,s,s
1381,p,f,n,s,v
1382,n,f,b,s,a
1383,p,f,n,s,v
1384,n,f,b,f,a
1385,n,f,b,f,a
1386,n,f,b,s,a
1387,n,f,b,s,s
1388,n,f,b,s,v
1389,n,f,b,s,v
1390,n,f,b,s,s
1391,n,f,b,s,y
1392,n,f,b,s,s
1393,n,f,b,f,a
1394,n,f,b,f,s
1395,n,f,b,s,s
1396,n,f,b,s,y
1397,n,f,b,s,s
1398,n,f,b,f,s
1399,n,f,b,s,s
1400,p,f,n,s,s
1401,n,f,b,s,s
1402,a,f,b,s,y
1403,n,f,b,s,y
1404,n,f,b,s,a
1405,n,f,b,f,a
1406,p,f,n,s,s
1407,n,f,b,f,a
1408,n,f,b,s,a
1409,n,f,b,s,a
1410,n,f,b,s,s
1411,n,f,b,f,s
1412,n,f,b,s,s
1413,n,f,b,f,a
1414,n,f,b,s,a
1415,n,f,b,f,a
1416,n,f,b,s,a
1417,l,f,b,s,s
1418,n,f,b,f,a
1419,n,f,b,f,s
1420,n,f,b,f,a
1421,p,f,n,s,s
1422,n,f,b,s,s
1423,n,f,b,s,v
1424,n,f,b,s,s
1425,n,f,b,s,a
1426,n,f,b,s,a
1427,n,f,b,s,s
1428,n,f,b,f,s
1429,l,f,b,s,s
1430,p,f,n,s,v
1431,n,f,b,s,s
1432,n,f,b,s,v
1433,p,f,n,s,s
1434,p,f,n,s,s
1435,p,f,n,s,s
1436,n,f,b,s,y
1437,l,f,b,s,n
1438,p,f,n,s,s
1439,n,f,b,s,a
1440,n,f,b,f,s
1441,n,f,b,s,y
1442,n,f,b,f,a
1443,n,f,b,s,s
1444,n,f,b,f,s
1445,p,f,n,s,s
1446,p,f,n,s,v
1447,n,f,b,s,s
1448,n,f,b,f,s
1449,n,f,b,s,v
1450,n,f,b,f,s
1451,n,f,b,f,a
1452,p,f,n,s,v
1453,n,f,b,f,a
1454,p,f,n,s,v
1455,n,f,b,f,a
1456,n,f,b,f,s
1457,n,f,b,s,a
1458,n,f,b,s,y
1459,n,f,b,f,s
1460,p,f,n,s,s
1461,n,f,b,s,v
1462,n,f,b,f,s
1463,n,f,b,f,s
1464,a,f,n,s,v
1465,n,f,b,f,s
1466,n,f,b,s,v
1467,n,f,b,s,y
1468,a,f,n,s,v
1469,n,f,b,s,a
1470,n,f,b,s,s
1471,n,f,b,s,y
1472,n,f,b,f,a
1473,p,f,n,s,v
1474,n,f,b,s,s
1475,n,f,b,s,a
1476,n,f,b,s,s
1477,n,f,b,f,a
1478,n,f,b,f,a
1479,p,f,n,s,s
1480,n,f,b,f,s
1481,n,f,b,f,a
1482,n,f,b,f,s
1483,n,f,b,s,s
1484,n,f,b,s,a
1485,l,f,b,s,y
1486,p,f,n,s,v
1487,n,f,b,s,a
1488,n,f,b,f,s
1489,n,f,b,s,s
1490,p,f,n,s,s
1491,n,f,b,f,s
1492,p,f,n,s,s
1493,n,f,b,f,s
1494,n,f,b,f,s
1495,n,f,b,s,a
1496,n,f,b,s,s
1497,n,f,b,s,s
1498,n,f,b,s,s
1499,n,f,b,s,a
1500,n,f,b,s,s
1501,n,f,b,s,a
1502,a,f,b,s,n
1503,n,f,b,s,s
1504,n,f,b,s,a
1505,n,f,b,f,a
1506,n,f,b,s,y
1507,p,f,n,s,s
1508,n,f,b,s,y
1509,n,f,b,f,a
1510,n,f,b,s,y
1511,n,f,b,f,a
1512,n,f,b,s,s
1513,n,f,b,s,a
1514,a,f,b,s,s
1515,a,f,n,s,v
1516,n,f,b,f,a
1517,n,f,b,s,a
1518,n,f,b,s,s
1519,a,f,b,s,s
1520,n,f,b,f,s
1521,l,f,b,s,s
1522,n,f,b,s,s
1523,n,f,b,s,a
1524,n,f,b,f,s
1525,n,f,b,s,a
1526,n,f,b,f,s
1527,n,f,b,s,y
1528,n,f,b,f,s
1529,a,f,b,s,n
1530,n,f,b,f,a
1531,p,f,n,s,s
1532,n,f,b,s,s
1533,p,f,n,s,s
1534,n,f,b,s,s
1535,n,f,b,f,s
1536,p,f,n,s,s
1537,n,f,b,f,a
1538,p,f,n,s,s
1539,n,f,b,f,s
1540,n,f,b,s,s
1541,p,f,n,s,v
1542,n,f,b,s,a
1543,n,f,b,s,a
1544,n,f,b,f,s
1545,n,f,b,f,a
1546,n,f,b,s,y
1547,p,f,n,s,s
1548,n,f,b,f,s
1549,a,f,b,s,y
1550,n,f,b,s,a
1551,n,f,b,f,a
1552,l,f,b,s,n
1553,n,f,b,s,a
1554,n,f,b,f,a
1555,n,f,b,s,a
1556,p,f,n,s,s
1557,n,f,b,s,a
1558,a,f,b,s,n
1559,n,f,b,s,a
1560,n,f,b,s,s
1561,n,f,b,f,a
1562,n,f,b,s,s
1563,n,f,b,f,a
1564,n,f,b,s,v
1565,l,f,b,s,n
1566,n,f,b,s,v
1567,p,f,n,s,s
1568,n,f,b,s,a
1569,p,f,n,s,v
1570,n,f,b,s,a
1571,n,f,b,s,a
1572,n,f,b,s,a
1573,n,f,b,f,a
1574,n,f,b,f,s
1575,l,f,b,s,s
1576,n,f,b,s,a
1577,n,f,b,f,s
1578,p,f,n,s,v
1579,n,f,b,s,a
1580,p,f,n,s,s
1581,n,f,b,s,a
1582,n,f,b,s,v
1583,n,f,b,s,s
1584,p,f,n,s,v
1585,n,f,b,s,s
1586,p,f,n,s,v
1587,n,f,b,s,v
1588,n,f,b,f,s
1589,a,f,b,s,s
1590,n,f,b,f,s
1591,n,f,b,s,a
1592,n,f,b,f,s
1593,n,f,b,f,s
1594,n,f,b,s,a
1595,n,f,b,f,s
1596,n,f,b,f,a
1597,n,f,b,s,v
1598,n,f,b,f,a
1599,n,f,b,f,s
1600,l,f,b,s,s
1601,n,f,b,s,y
1602,n,f,b,f,a
1603,n,f,b,s,s
1604,n,f,b,f,a
1605,n,f,b,s,s
1606,n,f,b,s,a
1607,n,f,b,s,a
1608,n,f,b,s,s
1609,n,f,b,s,y
1610,n,f,b,f,s
1611,n,f,b,f,a
1612,n,f,b,f,a
1613,n,f,n,s,y
1614,p,f,n,s,s
1615,p,f,n,s,v
1616,n,f,b,s,v
1617,n,f,b,f,a
1618,n,f,b,s,a
1619,n,f,b,s,s
1620,n,f,b,f,s
1621,n,f,b,s,s
1622,n,f,b,f,a
1623,n,f,b,s,s
1624,n,f,b,s,a
1625,n,f,b,s,v
1626,p,f,n,s,v
1627,n,f,b,f,s
1628,n,f,b,s,v
1629,p,f,n,s,s
1630,p,f,n,s,v
1631,p,f,n,s,s
1632,n,f,b,s,a
1633,n,f,b,f,s
1634,n,f,b,f,a
1635,n,f,b,s,a
1636,n,f,b,s,a
1637,p,f,n,s,v
1638,p,f,n,s,v
1639,n,f,b,f,a
1640,n,f,b,f,a
1641,n,f,b,f,s
1642,n,f,b,s,v
1643,n,f,b,s,v
1644,n,f,b,f,a
1645,n,f,b,f,s
1646,n,f,b,f,a
1647,l,f,b,s,n
1648,n,f,b,f,a
1649,n,f,b,s,s
1650,n,f,b,s,s
1651,n,f,b,f,a
1652,n,f,b,s,s
1653,n,f,b,f,s
1654,n,f,b,f,s
1655,n,f,b,s,s
1656,n,f,b,s,s
1657,n,f,b,f,a
1658,n,f,b,s,s
1659,n,f,b,s,s
1660,n,f,b,s,a
1661,n,f,b,f,s
1662,n,f,b,s,a
1663,a,f,b,s,n
1664,l,f,b,s,n
1665,n,f,b,s,a
1666,p,f,n,s,s
1667,n,f,b,s,s
1668,p,f,n,s,s
1669,n,f,b,s,v
1670,p,f,n,s,v
1671,l,f,b,s,s
1672,l,f,b,s,n
1673,l,f,b,s,y
1674,n,f,b,s,s
1675,n,f,b,f,s
1676,n,f,b,s,a
1677,n,f,b,f,a
1678,n,f,b,f,s
1679,n,f,b,s,a
1680,n,f,b,f,s
1681,l,f,b,s,n
1682,n,f,b,s,s
1683,l,f,b,s,s
1684,p,f,n,s,v
1685,n,f,b,f,s
1686,n,f,b,f,s
1687,n,f,b,s,s
1688,n,f,b,f,s
1689,n,f,b,s,y
1690,n,f,b,s,y
1691,a,f,b,s,y
1692,n,f,b,s,y
1693,n,f,b,f,a
1694,n,f,b,f,s
1695,n,f,b,s,a
1696,n,f,b,f,a
1697,n,f,b,f,s
1698,n,f,b,f,a
1699,n,f,b,s,a
1700,n,f,b,s,a
1701,n,f,b,s,y
1702,n,f,b,s,s
1703,n,f,b,f,s
1704,p,f,n,s,s
1705,n,f,b,s,y
1706,n,f,b,f,s
1707,n,f,b,s,s
1708,p,f,n,s,v
1709,n,f,b,s,s
1710,n,f,b,s,v
1711,n,f,b,f,a
1712,n,f,b,f,s
1713,n,f,b,s,v
1714,n,f,b,s,a
1715,n,f,b,s,a
1716,n,f,b,s,y
1717,l,f,b,s,n
1718,l,f,b,s,n
1719,n,f,b,f,s
1720,n,f,b,s,a
1721,n,f,b,f,s
1722,n,f,b,f,a
1723,n,f,b,s,a
1724,n,f,b,s,s
1725,a,f,b,s,n
1726,p,f,n,s,v
1727,n,f,b,s,a
1728,n,f,b,f,s
1729,a,f,b,s,s
1730,n,f,b,f,a
1731,n,f,b,f,a
1732,p,f,n,s,v
1733,n,f,b,f,a
1734,n,f,b,f,s
1735,p,f,n,s,v
1736,n,f,b,s,a
1737,n,f,b,f,a
1738,n,f,b,s,v
1739,n,f,b,f,s
1740,p,f,n,s,v
1741,n,f,b,s,a
1742,n,f,b,s,s
1743,n,f,b,f,s
1744,n,f,b,f,a
1745,l,f,b,s,y
1746,p,f,n,s,s
1747,n,f,b,s,a
1748,n,f,n,s,y
1749,p,f,n,s,s
1750,n,f,b,s,s
1751,n,f,b,f,s
1752,a,f,b,s,y
1753,n,f,b,f,s
1754,n,f,b,f,a
1755,p,f,n,s,s
1756,n,f,b,f,s
1757,n,f,b,s,s
1758,n,f,b,s,s
1759,n,f,b,s,v
1760,n,f,b,f,s
1761,n,f,b,f,a
1762,n,f,b,f,s
1763,n,f,b,s,s
1764,n,f,b,s,y
1765,n,f,b,f,s
1766,p,f,n,s,s
1767,n,f,b,s,a
1768,n,f,b,s,s
1769,n,f,b,s,v
1770,a,f,b,s,y
1771,n,f,b,f,a
1772,n,f,b,f,a
1773,n,f,b,s,a
1774,a,f,b,s,s
1775,n,f,b,s,y
1776,n,f,b,s,a
1777,n,f,b,f,a
1778,p,f,n,s,s
1779,p,f,n,s,v
1780,n,f,b,s,a
1781,n,f,n,s,v
1782,n,f,b,f,s
1783,n,f,b,f,a
1784,p,f,n,s,s
1785,a,f,b,s,s
1786,n,f,b,f,a
1787,p,f,n,s,s
1788,n,f,b,f,a
1789,n,f,b,s,s
1790,n,f,b,f,s
1791,p,f,n,s,v
1792,n,f,b,f,a
1793,n,f,b,f,a
1794,n,f,b,s,s
1795,n,f,b,f,a
1796,p,f,n,s,v
1797,n,f,b,s,s
1798,n,f,b,f,a
1799,p,f,n,s,v
1800,n,f,b,s,a
1801,n,f,b,s,v
1802,n,f,b,s,a
1803,n,f,b,s,v
1804,n,f,b,s,v
1805,n,f,b,s,y
1806,n,f,b,s,v
1807,n,f,b,f,s
1808,n,f,b,s,y
1809,n,f,b,s,y
1810,n,f,b,f,s
1811,p,f,n,s,s
1812,n,f,b,s,v
1813,p,f,n,s,v
1814,a,f,b,s,s
1815,n,f,b,s,a
1816,a,f,b,s,s
1817,f,f,b,k,y
1818,n,f,b,f,a
1819,n,f,b,f,s
1820,n,f,b,s,v
1821,n,f,b,s,s
1822,n,f,b,s,s
1823,p,f,n,s,v
1824,n,f,b,s,y
1825,l,f,b,s,n
1826,n,f,b,f,s
1827,n,f,b,s,v
1828,n,f,b,s,s
1829,n,f,b,f,a
1830,n,f,b,s,v
1831,n,f,b,s,y
1832,n,f,b,s,v
1833,n,f,b,f,a
1834,n,f,b,s,v
1835,n,f,b,s,v
1836,n,f,b,s,v
1837,n,f,b,s,y
1838,n,f,b,f,s
1839,n,f,b,s,y
1840,n,f,b,s,s
1841,n,f,b,f,a
1842,n,f,b,s,a
1843,n,f,b,s,v
1844,p,f,n,s,s
1845,n,f,b,s,v
1846,n,f,b,s,s
1847,n,f,b,f,a
1848,n,f,b,s,v
1849,n,f,b,s,v
1850,n,f,b,s,v
1851,n,f,b,s,v
1852,n,f,b,f,a
1853,n,f,b,s,v
1854,n,f,b,s,v
1855,n,f,b,s,y
1856,n,f,b,s,y
1857,a,f,n,s,v
1858,n,f,b,s,v
1859,p,f,n,s,v
1860,n,f,b,f,s
1861,n,f,b,s,y
1862,n,f,b,s,v
1863,n,f,b,f,a
1864,n,f,b,s,y
1865,n,f,b,s,s
1866,n,f,b,s,y
1867,n,f,b,s,v
1868,n,f,b,f,a
1869,n,f,b,s,a
1870,n,f,b,s,s
1871,n,f,b,s,s
1872,n,f,b,s,y
1873,n,f,b,s,a
1874,n,f,b,s,a
1875,n,f,b,s,v
1876,n,f,b,s,y
1877,n,f,b,s,v
1878,n,f,b,s,y
1879,n,f,b,s,s
1880,n,f,b,s,a
1881,n,f,b,s,a
1882,n,f,b,s,a
1883,n,f,b,s,v
1884,n,f,b,s,y
1885,n,f,b,s,v
1886,l,f,n,s,v
1887,n,f,b,f,a
1888,p,f,n,s,s
1889,n,f,b,s,v
1890,n,f,b,s,v
1891,n,f,b,f,a
1892,n,f,b,f,a
1893,n,f,b,s,a
1894,n,f,b,s,a
1895,n,f,b,s,a
1896,n,f,b,s,v
1897,n,f,b,s,y
1898,n,f,b,f,s
1899,n,f,b,f,a
1900,n,f,b,f,s
1901,n,f,b,s,y
1902,n,f,b,f,a
1903,n,f,b,s,a
1904,n,f,b,f,s
1905,n,f,b,s,s
1906,n,f,b,s,a
1907,n,f,b,f,a
1908,n,f,b,s,v
1909,n,f,b,s,a
1910,n,f,b,f,s
1911,n,f,b,s,v
1912,n,f,b,s,v
1913,n,f,b,s,v
1914,n,f,b,s,s
1915,n,f,b,f,a
1916,l,f,b,s,y
1917,p,f,n,s,v
1918,n,f,b,f,a
1919,n,f,b,s,s
1920,n,f,b,s,v
1921,n,f,b,s,y
1922,n,f,b,s,a
1923,n,f,b,f,s
1924,n,f,b,f,s
1925,n,f,b,s,v
1926,n,f,b,s,v
1927,n,f,b,s,s
1928,n,f,b,s,a
1929,n,f,b,s,s
1930,n,f,b,s,s
1931,p,f,n,s,s
1932,a,f,b,s,s
1933,n,f,b,s,v
1934,n,f,b,f,a
1935,n,f,b,f,s
1936,n,f,b,s,s
1937,l,f,n,s,v
1938,n,f,b,s,a
1939,n,f,b,f,a
1940,n,f,b,f,s
1941,n,f,b,s,v
1942,n,f,b,s,v
1943,n,f,b,s,v
1944,n,f,b,s,s
1945,n,f,b,f,s
1946,p,f,n,s,v
1947,n,f,b,f,s
1948,n,f,b,s,y
1949,n,f,b,s,v
1950,n,f,b,s,a
1951,n,f,b,s,v
1952,n,f,b,s,v
1953,n,f,b,s,y
1954,n,f,b,s,v
1955,n,f,b,s,v
1956,p,f,n,s,v
1957,n,f,b,s,s
1958,n,f,b,s,v
1959,n,f,b,s,y
1960,p,f,n,s,s
1961,n,f,b,s,y
1962,n,f,b,s,s
1963,n,f,b,s,v
1964,n,f,b,f,s
1965,n,f,b,f,a
1966,n,f,b,s,s
1967,n,f,b,s,v
1968,n,f,b,f,s
1969,n,f,b,s,v
1970,n,f,b,s,s
1971,n,f,b,f,a
1972,n,f,b,s,s
1973,p,f,n,s,v
1974,n,f,b,s,y
1975,n,f,b,f,s
1976,p,f,n,s,s
1977,n,f,b,s,v
1978,n,f,b,s,y
1979,n,f,b,f,a
1980,n,f,b,s,v
1981,n,f,b,s,s
1982,n,f,b,f,s
1983,l,f,b,s,n
1984,n,f,b,f,s
1985,n,f,b,s,v
1986,n,f,b,s,y
1987,n,f,b,f,a
1988,p,f,n,s,s
1989,n,f,b,s,v
1990,p,f,n,s,s
1991,p,f,n,s,v
1992,n,f,b,s,v
1993,n,f,b,s,a
1994,n,f,b,s,y
1995,n,f,b,s,a
1996,n,f,b,s,y
1997,n,f,b,f,s
1998,n,f,b,s,a
1999,n,f,b,f,a
2000,n,f,b,s,s
2001,n,f,b,s,v
2002,n,f,b,s,v
2003,n,f,b,f,a
2004,n,f,b,s,y
2005,p,f,n,s,v
2006,l,f,b,s,s
2007,p,f,n,s,s
2008,n,f,b,f,s
2009,n,f,b,f,a
2010,p,f,n,s,v
2011,n,f,b,f,a
2012,n,f,b,s,s
2013,n,f,b,s,v
2014,n,f,b,s,a
2015,n,f,b,s,s
2016,n,f,b,f,a
2017,n,f,b,f,s
2018,a,f,n,s,v
2019,a,f,n,s,v
2020,n,f,b,s,a
2021,n,f,b,s,y
2022,n,f,b,s,y
2023,n,f,b,s,y
2024,n,f,b,s,s
2025,n,f,b,s,y
2026,n,f,b,s,v
2027,n,f,b,f,a
2028,n,f,b,s,v
2029,n,f,b,f,a
2030,l,f,b,s,s
2031,n,f,b,s,v
2032,n,f,b,s,s
2033,n,f,b,s,y
2034,n,f,b,s,y
2035,n,f,b,s,v
2036,n,f,b,s,a
2037,n,f,b,f,s
2038,n,f,b,f,a
2039,n,f,b,s,a
2040,n,f,b,s,y
2041,n,f,b,s,y
2042,n,f,b,s,y
2043,n,f,b,f,s
2044,n,f,b,s,s
2045,n,f,b,s,s
2046,a,f,b,s,s
2047,n,f,b,s,v
2048,n,f,b,f,s
2049,n,f,b,s,v
2050,n,f,b,s,y
2051,n,f,b,f,a
2052,a,f,b,s,s
2053,n,f,b,s,s
2054,n,f,b,s,a
2055,n,f,b,s,v
2056,n,f,b,f,s
2057,n,f,b,s,v
2058,n,f,b,s,y
2059,n,f,b,s,a
2060,a,f,b,s,n
2061,n,f,b,f,s
2062,p,f,n,s,v
2063,n,f,b,f,s
2064,n,f,b,s,v
2065,n,f,b,s,s
2066,n,f,b,s,v
2067,n,f,b,s,v
2068,p,f,n,s,v
2069,n,f,b,s,a
2070,n,f,b,s,y
2071,n,f,b,s,y
2072,n,f,b,s,v
2073,n,f,b,s,y
2074,n,f,b,s,y
2075,p,f,n,s,v
2076,l,f,b,s,n
2077,n,f,b,s,v
2078,n,f,b,s,y
2079,n,f,b,f,s
2080,n,f,b,s,y
2081,n,f,b,f,s
2082,n,f,b,f,s
2083,n,f,b,s,v
2084,n,f,b,s,v
2085,n,f,b,s,s
2086,n,f,b,s,s
2087,n,f,b,f,s
2088,n,f,b,s,y
2089,n,f,b,s,y
2090,p,f,n,s,s
2091,n,f,b,s,v
2092,n,f,b,s,a
2093,a,f,b,s,s
2094,n,f,b,f,s
2095,n,f,b,f,s
2096,n,f,b,s,y
2097,n,f,b,s,v
2098,n,f,b,f,s
2099,p,f,n,s,s
2100,n,f,b,s,a
2101,n,f,b,s,y
2102,n,f,b,s,v
2103,n,f,b,s,v
2104,n,f,b,s,y
2105,n,f,b,s,y
2106,n,f,b,s,y
2107,n,f,b,s,v
2108,n,f,b,s,y
2109,n,f,b,s,v
2110,n,f,b,s,v
2111,n,f,b,s,v
2112,n,f,b,s,v
2113,p,f,n,s,v
2114,n,f,b,s,v
2115,n,f,b,s,v
2116,n,f,b,s,y
2117,n,f,b,s,y
2118,n,f,b,s,v
2119,n,f,b,s,v
2120,n,f,b,s,v
2121,n,f,b,s,y
2122,n,f,b,s,y
2123,n,f,b,s,v
2124,n,f,b,s,v
2125,n,f,b,s,v
2126,n,f,b,s,v
2127,n,f,b,s,y
2128,n,f,b,s,v
2129,f,f,b,k,y
2130,p,f,n,s,s
2131,n,f,b,s,v
2132,n,f,b,s,s
2133,n,f,b,s,v
2134,n,f,b,s,y
2135,n,f,b,s,v
2136,n,f,b,s,y
2137,n,f,b,s,v
2138,n,f,b,s,v
2139,n,f,b,s,y
2140,n,f,b,s,y
2141,n,f,b,s,v
2142,n,f,b,s,v
2143,n,f,b,s,y
2144,n,f,b,s,y
2145,n,f,b,s,v
2146,n,f,b,s,v
2147,n,f,b,s,v
2148,p,f,n,s,v
2149,n,f,b,s,y
2150,p,f,n,s,s
2151,n,f,b,s,y
2152,n,f,b,s,y
2153,n,f,b,s,v
2154,n,f,b,s,v
2155,n,f,b,s,y
2156,n,f,b,s,v
2157,n,f,b,s,y
2158,n,f,b,s,v
2159,n,f,b,s,y
2160,n,f,b,s,v
2161,n,f,b,s,y
2162,n,f,b,s,y
2163,n,f,b,s,v
2164,n,f,b,s,y
2165,n,f,b,s,y
2166,n,f,b,s,y
2167,n,f,b,s,y
2168,n,f,b,s,y
2169,n,f,b,s,y
2170,n,f,b,s,v
2171,n,f,b,s,v
2172,n,f,b,s,v
2173,n,f,b,s,v
2174,n,f,b,s,v
2175,n,f,b,s,y
2176,n,f,b,s,v
2177,n,f,b,s,y
2178,n,f,b,s,v
2179,f,f,b,k,y
2180,n,f,b,s,y
2181,n,f,b,s,y
2182,n,f,b,s,v
2183,n,f,b,s,y
2184,n,f,b,s,v
2185,n,f,b,s,v
2186,n,f,b,s,y
2187,n,f,b,s,y
2188,n,f,b,s,y
2189,n,f,b,s,v
2190,n,f,b,s,v
2191,n,f,b,s,v
2192,n,f,b,s,y
2193,n,f,b,s,s
2194,n,f,b,s,y
2195,n,f,b,s,y
2196,n,f,b,s,v
2197,n,f,b,s,v
2198,n,f,b,s,y
2199,n,f,b,s,v
2200,n,f,b,s,y
2201,n,f,b,s,a
2202,n,f,b,s,y
2203,n,f,b,s,v
2204,n,f,b,s,y
2205,n,f,b,s,y
2206,n,f,b,s,v
2207,n,f,b,s,v
2208,n,f,b,s,y
2209,n,f,b,s,y
2210,n,f,b,s,v
2211,c,f,n,s,s
2212,n,f,b,s,y
2213,n,f,b,s,v
2214,n,f,b,s,y
2215,n,f,b,s,v
2216,n,f,b,s,v
2217,n,f,b,s,y
2218,n,f,b,s,v
2219,n,f,b,s,v
2220,n,f,b,s,v
2221,n,f,b,s,v
2222,n,f,b,s,v
2223,n,f,b,s,v
